GENESIS-Tabelle: 33111-001r
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nutzung (nach ALKIS-Nutzungsarten), Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(ab 2014);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten)
09171112;      Burghausen, St;1980,95;253,01;230,49;31,29;134,53;15,01;-;-;-;39,87;32,65;15,36;9,68;5,98;15,43;2,83;112,26;24,09;14,09;15,83;-;-;224,07;232,18;3,39;0,12;1,23;391,61;44,09;-;-;-;44,21;72,29;-;15,36
09171113;      Burgkirchen a.d.Alz;4619,17;178,65;129,57;5,03;21,56;15,24;0,33;-;2,49;113,21;10,99;11,26;1,28;3,50;9,42;1,35;124,01;56,36;2,58;15,57;-;-;1696,59;776,39;2,20;-;-;1320,74;22,12;-;-;-;36,96;60,36;-;1,40
09171114;      Emmerting;1407,13;85,05;1,94;3,40;0,08;1,09;-;-;12,94;21,08;3,18;3,85;-;0,10;1,81;-;30,93;20,31;0,40;-;-;-;179,24;98,29;-;-;-;910,46;4,52;-;-;-;11,10;17,34;-;0,02
09171115;      Erlbach;2813,36;15,52;0,31;-;1,19;1,37;-;-;4,12;84,54;1,33;3,23;-;0,53;0,08;-;50,14;27,28;0,21;-;-;-;1050,79;837,71;-;-;-;708,42;10,37;-;-;-;11,98;2,09;-;2,14
09171116;      Feichten a.d.Alz;1791,60;24,58;2,07;-;5,27;0,02;-;-;1,13;43,44;1,31;2,93;-;-;0,06;0,26;32,34;15,70;-;8,54;-;-;896,10;319,34;-;-;-;404,85;5,94;-;-;-;5,94;20,43;-;1,35
09171117;      Garching a.d.Alz;2586,23;182,41;17,09;9,36;1,32;2,19;0,01;-;8,45;80,37;9,93;3,89;7,57;0,29;1,74;1,11;85,28;20,66;2,15;23,63;-;-;1076,41;322,71;1,21;-;1,85;635,19;24,91;-;-;-;25,75;39,87;-;0,88
09171118;      Haiming;2873,16;61,88;16,13;3,61;3,66;5,48;-;-;11,37;58,84;3,92;66,88;-;-;0,05;0,48;49,15;45,97;0,16;-;-;-;808,06;308,28;2,25;-;0,87;1072,75;59,47;-;-;-;78,33;157,16;-;58,40
09171119;      Halsbach;2207,64;18,45;2,53;0,50;0,05;-;-;-;0,40;57,43;1,05;2,12;0,57;-;0,09;-;32,66;20,13;0,96;-;-;-;1178,16;499,55;-;-;-;368,90;11,45;-;-;-;10,07;1,91;-;0,65
09171121;      Kastl;2760,41;43,55;25,42;1,50;3,19;-;-;-;32,84;81,90;1,79;3,23;-;-;0,24;0,47;50,00;36,85;0,44;10,11;-;-;1385,68;330,45;0,22;-;0,84;711,14;10,69;-;-;-;20,51;8,61;-;0,76
09171122;      Kirchweidach;2015,02;45,89;7,33;2,47;9,44;-;-;-;-;74,57;2,40;3,44;-;-;0,47;0,39;41,69;18,70;0,09;9,77;-;-;1169,84;387,23;-;-;-;221,46;5,22;-;-;-;12,39;0,75;-;1,48
09171123;      Marktl, M;2783,79;58,99;6,47;3,81;0,86;0,55;-;-;4,47;58,79;3,21;21,12;-;2,90;1,04;0,47;68,29;33,27;1,77;9,02;-;-;592,13;469,44;-;-;4,23;1266,24;28,29;-;0,89;-;23,68;108,08;-;15,79
09171124;      Mehring;2337,65;43,09;8,24;5,05;5,84;-;-;-;2,08;44,54;2,18;3,45;0,19;-;0,61;0,95;51,30;35,36;1,14;0,64;-;-;637,97;361,66;-;-;-;1081,88;9,19;-;-;-;19,52;21,89;-;0,89
09171125;      Neuötting, St;3659,68;145,20;27,73;25,38;3,02;4,64;-;-;11,08;59,12;14,54;5,77;0,95;0,32;5,95;1,57;138,76;62,32;6,76;-;-;-;839,94;307,70;0,99;-;1,09;1754,04;48,84;-;-;-;70,35;116,83;-;6,82
09171126;      Perach;1413,46;26,11;3,54;1,49;4,48;1,29;-;-;3,63;37,01;1,58;2,38;-;3,60;0,18;0,23;26,82;16,83;0,73;13,25;-;-;384,49;299,41;1,98;-;-;476,40;18,31;-;0,61;-;21,57;51,92;-;15,61
09171127;      Pleiskirchen;5261,65;41,06;4,96;0,87;1,15;2,88;-;-;-;146,57;2,26;44,06;-;0,96;1,43;0,22;85,09;56,22;0,77;-;-;-;2192,72;1308,38;-;-;0,33;1313,00;21,83;-;-;-;26,34;5,24;-;5,32
09171129;      Reischach;2846,08;54,89;5,26;1,40;1,28;1,36;-;-;3,68;71,67;3,02;3,98;0,67;0,46;0,23;0,28;55,92;29,42;0,24;0,40;-;-;897,74;793,04;0,52;-;-;871,14;14,51;-;-;-;25,98;7,00;-;2,00
09171130;      Stammham;567,94;29,97;2,10;0,81;2,27;2,22;-;-;0,13;11,42;1,67;7,30;-;-;-;0,89;18,00;7,31;0,38;7,06;-;-;179,59;76,62;-;-;-;165,10;10,78;-;-;-;7,83;35,23;-;1,25
09171131;      Teising;537,11;36,01;16,26;-;0,50;-;-;-;7,99;13,68;0,94;2,90;-;-;0,74;-;15,05;6,69;0,15;-;-;-;226,26;48,14;-;-;-;134,12;4,65;-;-;-;9,96;12,84;-;0,23
09171132;      Töging a.Inn, St;1365,20;169,16;52,95;7,50;19,47;5,77;-;-;4,52;28,55;9,36;8,87;0,36;3,31;1,39;2,65;74,83;22,90;3,80;13,90;-;-;465,42;73,68;-;-;-;282,36;16,24;-;-;-;32,69;64,45;-;1,08
09171133;      Tüßling, M;1955,19;73,39;4,27;1,54;1,36;-;-;-;0,49;50,42;9,52;4,50;0,10;-;2,62;0,99;44,09;25,42;1,65;18,22;3,09;-;1063,31;299,62;1,01;-;-;292,26;21,61;-;-;-;23,99;8,99;-;2,73
