GENESIS-Tabelle: 33111-001r-2015
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nutzung (nach ALKIS-Nutzungsarten), Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(ab 2015);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten)
09171112;      Burghausen, St;1980,95;254,64;232,85;31,00;140,76;15,01;-;-;-;40,40;32,96;15,38;9,87;5,98;16,68;2,83;112,10;25,11;14,04;15,90;-;-;214,97;235,13;3,39;0,12;1,23;387,15;42,06;-;-;-;43,74;72,31;-;15,36
09171113;      Burgkirchen a.d.Alz;4619,17;183,17;130,28;4,39;21,55;14,65;0,33;-;2,49;113,63;10,99;11,98;1,28;3,02;9,47;1,35;124,57;56,83;2,49;15,41;-;-;1696,01;770,41;2,20;-;1,70;1320,26;22,76;-;-;-;36,01;60,46;-;1,48
09171114;      Emmerting;1407,13;86,93;1,46;3,55;0,08;1,09;-;-;12,77;21,30;3,15;3,85;0,10;0,10;1,81;-;31,05;21,50;0,43;-;-;-;172,28;103,19;-;-;-;909,81;4,09;-;-;-;11,03;17,53;-;0,02
09171115;      Erlbach;2813,36;15,86;0,31;-;1,19;1,37;-;-;3,93;86,40;1,30;3,37;-;0,53;0,10;-;52,08;25,51;0,21;-;-;-;1071,46;815,14;-;-;-;708,63;10,24;-;-;-;11,45;2,05;-;2,20
09171116;      Feichten a.d.Alz;1791,60;25,12;2,07;-;5,20;0,03;-;-;1,48;43,15;1,24;2,93;0,07;-;0,06;0,26;32,22;16,47;0,01;8,54;-;-;899,52;307,05;8,65;-;-;404,98;6,07;-;-;-;4,89;20,28;-;1,32
09171117;      Garching a.d.Alz;2586,23;182,19;16,40;9,96;1,32;2,19;0,01;-;8,45;81,23;9,93;3,89;7,57;0,29;1,74;1,11;86,03;19,80;2,17;23,67;-;-;1074,41;325,56;1,21;-;1,85;634,62;24,82;-;-;-;25,03;39,87;-;0,90
09171118;      Haiming;2873,17;63,77;16,25;3,49;3,66;5,48;-;-;12,89;58,40;3,55;66,96;-;-;0,05;0,44;49,05;46,43;0,17;-;-;-;808,67;304,38;2,22;-;0,87;1072,94;58,79;-;-;-;79,12;157,22;-;58,38
09171119;      Halsbach;2207,64;18,73;3,12;0,50;0,06;-;-;-;0,40;56,49;1,05;2,12;0,57;-;0,06;-;34,66;18,15;0,96;-;-;-;1185,89;494,06;-;-;-;368,66;10,96;-;-;-;8,61;1,90;-;0,68
09171121;      Kastl;2760,41;44,23;24,01;2,33;3,00;-;-;-;33,93;81,26;1,79;3,58;-;-;0,24;0,47;50,77;36,77;0,44;10,11;-;-;1387,85;329,12;0,13;-;0,84;711,05;10,65;-;-;-;18,51;8,52;-;0,82
09171122;      Kirchweidach;2015,02;47,66;8,21;29,52;9,44;-;-;-;-;57,72;2,40;3,44;-;-;0,47;0,39;42,67;17,78;0,09;9,77;-;-;1169,39;376,06;-;-;-;221,17;5,15;-;-;-;10,60;0,74;-;2,37
09171123;      Marktl, M;2783,79;59,93;7,63;3,84;0,86;0,02;-;-;4,47;59,12;3,21;21,12;-;2,90;0,78;0,47;68,67;33,23;1,77;9,02;-;-;581,01;478,52;-;-;4,23;1267,16;28,15;-;0,89;-;22,89;108,07;-;15,85
09171124;      Mehring;2337,65;45,06;8,24;5,05;5,83;-;-;-;2,09;44,26;1,34;4,28;0,19;-;0,61;0,95;51,65;34,77;1,15;0,64;-;-;634,28;365,96;-;-;-;1081,24;9,23;-;-;-;18,09;21,83;-;0,89
09171125;      Neuötting, St;3659,68;146,51;27,54;25,42;3,13;4,66;-;-;11,07;59,01;15,85;5,77;0,95;0,32;5,96;1,56;139,44;62,81;6,78;-;-;-;839,90;304,06;0,29;-;1,12;1754,86;48,24;-;-;-;70,54;117,08;-;6,81
09171126;      Perach;1413,46;26,94;3,16;1,33;4,50;1,29;-;-;3,59;37,59;1,58;2,38;-;3,60;0,18;0,23;27,34;16,76;0,73;13,24;-;-;386,19;295,30;1,98;-;-;476,44;18,56;-;0,61;-;22,39;51,93;-;15,61
09171127;      Pleiskirchen;5261,65;42,61;5,90;0,89;1,19;2,84;-;-;-;147,50;2,16;43,70;-;0,94;1,42;0,22;86,99;55,97;0,82;-;-;-;2221,47;1270,88;0,82;-;1,52;1314,26;20,75;-;-;-;28,35;5,09;-;5,38
09171129;      Reischach;2846,08;56,83;5,22;1,42;1,36;1,42;-;-;3,20;72,59;3,05;3,98;0,67;0,45;0,23;0,28;56,81;28,38;0,20;0,40;-;-;903,98;788,66;0,52;-;-;869,26;14,29;-;-;-;24,02;6,85;-;1,99
09171130;      Stammham;567,94;30,00;2,09;0,81;2,27;2,22;-;-;0,09;11,71;1,66;7,34;-;0,01;-;0,89;17,82;7,47;0,37;7,06;-;-;177,56;77,84;-;-;-;165,27;10,70;-;-;-;8,29;35,21;-;1,24
09171131;      Teising;537,11;36,15;16,11;-;0,51;-;-;-;7,99;13,72;0,93;2,90;-;-;0,74;-;15,10;6,79;0,15;-;-;-;228,88;45,44;-;-;-;134,39;4,62;-;-;-;9,66;12,84;-;0,23
09171132;      Töging a.Inn, St;1365,20;170,57;55,40;8,43;19,50;5,60;-;-;4,73;28,24;9,28;8,87;0,36;3,30;2,28;2,62;75,42;22,32;2,69;13,64;-;-;458,88;76,06;-;-;-;282,13;15,86;-;-;-;33,39;64,53;-;1,09
09171133;      Tüßling, M;1955,19;73,95;4,27;1,54;1,36;-;-;-;0,49;49,60;9,57;4,50;0,10;-;2,62;0,99;44,56;25,89;1,66;18,26;3,09;-;1058,82;303,63;1,01;-;-;291,98;21,45;-;-;-;23,85;9,26;-;2,73
09171134;      Tyrlaching;2054,67;18,46;1,22;0,32;0,08;-;-;-;3,78;52,07;0,50;0,83;0,10;-;0,16;0,26;29,79;18,10;-;9,41;-;-;1089,21;420,21;0,12;-;-;393,80;5,80;-;-;-;8,61;-;-;1,83
09171135;      Unterneukirchen;2326,04;53,21;27,07;4,31;2,11;4,35;2,39;-;6,46;78,76;4,70;3,92;-;0,36;1,17;-;67,34;23,09;0,53;4,89;-;-;1432,92;283,79;1,02;-;-;261,60;19,65;-;-;-;18,07;21,66;-;2,66
09171137;      Winhöring;2458,71;115,19;22,26;5,52;4,75;0,43;-;-;7,90;53,71;6,53;5,18;-;0,57;2,14;0,90;93,68;38,87;1,37;22,11;-;-;777,89;265,83;-;-;-;878,15;36,47;-;-;-;61,44;46,29;-;11,53
09172;    Berchtesgadener Land (Lkr);83983,15;1590,08;274,38;215,90;48,34;20,53;4,45;0,47;76,05;897,68;261,24;189,65;18,65;58,94;64,62;24,25;1220,33;734,85;67,40;170,25;-;-;3643,93;15121,97;15,31;-;2,07;41007,63;3391,28;1,62;80,35;10,84;13232,07;662,49;-;875,53
