GENESIS-Tabelle: Temporär
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;
Nutzung (6)/(10)/(17), Jahr;;;;;;;;;;;;;;;;;;;
(von 2011 bis 2015);;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;
31.12.2011;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
09171112;      Burghausen, St;198110;24798;21934;10859;14085;-;1587;2540;14775;812;-;-;47545;45559;8768;4565;283;-
09171113;      Burgkirchen a.d.Alz;461946;17556;12669;13102;3363;238;975;1253;18088;1561;-;-;249265;133896;6173;3672;135;-
09171114;      Emmerting;140721;8307;93;2557;220;1294;191;387;5123;-;-;-;28169;91604;1733;1043;-;-
09171115;      Erlbach;281360;1475;31;8318;261;429;63;323;7781;-;-;-;189764;71574;406;935;-;-
09171116;      Feichten a.d.Alz;179166;2400;213;4497;516;96;6;290;4775;865;-;-;121659;40939;2194;690;26;-
09171117;      Garching a.d.Alz;258633;17885;1816;9900;379;664;203;1149;10742;1859;-;-;141020;66058;4055;2792;111;-
09171118;      Haiming;287343;6018;1583;6705;930;1140;5;6671;9478;-;-;-;112751;112743;21544;7727;48;-
09171119;      Halsbach;220775;1740;246;5524;5;62;20;268;5263;-;-;-;169138;36713;265;1531;-;-
09171121;      Kastl;276059;4189;2102;8263;209;3196;24;388;8717;1011;-;-;172887;72197;929;1900;47;-
09171122;      Kirchweidach;201512;4438;654;6179;997;-;47;344;5891;980;-;-;158593;22602;210;538;39;-
09171123;      Marktl, M;278403;5822;561;6434;95;442;372;2144;10185;903;89;-;106942;129343;12392;2632;47;-
09171124;      Mehring;233784;4050;649;4971;754;206;61;364;8754;64;-;-;99837;109350;2268;2361;95;-
09171125;      Neuötting, St;365993;14311;2163;10111;1353;1087;579;675;20699;-;-;-;115220;179957;12351;7330;157;-
09171126;      Perach;141355;2567;299;4310;266;709;18;263;4399;1335;61;-;69205;48198;6772;2930;23;-
09171127;      Pleiskirchen;526177;4074;383;14932;410;-;170;4529;14172;-;-;-;350543;133257;1021;2664;22;-
09171129;      Reischach;284626;5390;445;7548;289;357;39;441;8516;40;-;-;169663;88669;848;2353;28;-
09171130;      Stammham;56799;2988;210;1339;449;14;-;724;2559;706;-;-;25755;17587;3649;730;89;-
09171131;      Teising;53712;3560;1436;1443;229;631;71;290;2159;-;-;-;27739;13804;1279;1071;-;-
09171132;      Töging a.Inn, St;136528;16843;5012;4881;1905;981;136;923;10143;1386;-;-;54248;29838;6555;3412;265;-
09171133;      Tüßling, M;195526;7226;424;6111;63;49;264;450;7101;2137;-;-;136614;31550;1158;2280;99;-
09171134;      Tyrlaching;205477;1736;128;5368;8;384;16;83;4773;942;-;-;150897;39805;197;1126;14;-
09171135;      Unterneukirchen;232614;4632;3287;8213;746;584;115;393;8895;497;-;-;172941;27949;2446;1916;-;-
09171137;      Winhöring;245885;11103;1754;6197;494;312;256;592;13261;2212;-;-;106475;91564;5788;5787;90;-
09172;    Berchtesgadener Land (Lkr);8399206;158130;25695;132134;8813;8108;6980;21940;199938;17105;8405;1839;1887435;4356972;154210;1409098;2404;-
09172111;      Ainring;329597;15048;2907;10414;575;347;385;5603;10826;2294;5754;-;175915;88848;6949;3597;135;-
09172112;      Anger;459077;6877;675;8420;187;-;78;548;14214;-;936;63;161537;259912;4000;1537;93;-
09172114;      Bad Reichenhall, GKSt;419217;20917;2670;14931;726;-;2391;2113;17952;823;-;-;46117;272612;8071;29506;388;-
09172115;      Bayerisch Gmain;123292;6618;143;2031;207;90;715;434;4032;947;204;-;15443;72878;1033;18412;105;-
09172116;      Berchtesgaden, M;356292;11888;1293;9726;468;170;364;3245;16253;285;273;-;77143;220211;3720;11137;116;-
09172117;      Bischofswiesen;621550;12199;1583;10763;1221;1170;407;1232;13287;1478;275;-;86198;431289;3747;56701;-;-
09172118;      Freilassing, St;148151;18656;6152;9328;731;564;1194;1684;11289;3150;-;-;51110;37503;3767;2721;302;-
09172122;      Laufen, St;352798;10822;906;11220;374;1276;569;1889;13690;2025;-;-;187140;108250;10476;3860;301;-
09172124;      Marktschellenberg, M;176642;2767;265;3790;64;227;46;199;4816;-;-;-;56942;102724;2257;2508;37;-
09172128;      Piding;176721;8050;1777;4179;388;-;71;771;7814;833;-;-;42719;101739;3216;5056;108;-
09172129;      Ramsau b.Berchtesgaden;1291879;3072;458;4142;114;-;119;456;10511;-;249;330;83100;667581;5343;516349;55;-
09172130;      Saaldorf-Surheim;391016;10105;2027;9885;370;2310;149;739;13650;1455;21;-;241610;89379;15906;3331;79;-
09172131;      Schneizlreuth;1072867;3173;1029;4414;604;1208;-;506;15528;-;-;-;51742;865686;14748;114205;24;-
09172132;      Schönau a.Königssee;1316349;12863;737;6906;209;63;305;1235;10273;-;-;1446;119437;536902;61977;563526;470;-
09172134;      Teisendorf, M;867632;15075;3073;21705;2572;683;187;1286;30917;3815;693;-;481080;293711;6844;5800;191;-
09172444;      Gemeindefreie Gebiete;296126;-;-;280;3;-;-;-;4886;-;-;-;10202;207747;2156;70852;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);11106932;213289;40021;142195;9275;14813;9178;43374;234940;9095;203284;8447;3196616;6187164;438158;353741;3342;-
09173111;      Bad Heilbrunn;403180;8114;584;5986;94;-;459;602;8725;-;15070;-;162881;186764;7965;5852;84;-
09173112;      Bad Tölz, St;308004;22707;3674;12726;1031;105;1403;3080;14431;860;13070;-;109357;110605;10238;4138;579;-
09173113;      Benediktbeuern;378757;6590;635;4336;54;-;86;399;4980;296;18961;-;119660;205517;5069;12081;93;-
09173115;      Bichl;139207;4054;384;1710;232;-;294;234;5094;540;229;-;50892;69687;4058;1755;44;-
09173118;      Dietramszell;968114;11152;1599;18052;560;2553;459;1291;23608;-;17111;-;433890;445262;6917;5502;158;-
09173120;      Egling;740513;13179;2386;13277;319;3835;336;6130;19394;-;14830;-;322954;322059;15881;5784;149;-
09173123;      Eurasburg;408628;9856;1641;8066;933;157;146;5178;12515;-;6172;-;202190;151909;5881;3906;78;-
09173124;      Gaißach;385490;4881;727;4810;382;-;7;1874;6461;934;6890;1;120383;225339;5466;7266;69;-
09173126;      Geretsried, St;245993;24770;15446;9832;483;18;933;1982;13043;190;1376;1106;73053;94105;4575;4184;897;-
09173127;      Greiling;76571;3117;148;1290;433;-;-;57;2324;883;2157;-;44509;18873;690;2090;-;-
09173130;      Icking;169976;16100;135;4268;114;-;204;2707;9948;935;293;94;68774;64088;191;1997;128;-
09173131;      Jachenau;1286601;1735;444;2913;295;152;11;452;10299;-;434;-;141138;1081325;12327;35042;34;-
09173133;      Kochel a.See;801166;11241;875;5868;828;153;518;1101;11488;756;20580;-;107906;379499;213432;46795;126;-
09173134;      Königsdorf;456840;6177;800;6170;91;2149;2023;1871;9077;1776;41424;289;184891;188957;6593;4500;52;-
09173135;      Lenggries;2428510;18102;2195;12479;772;2378;321;1695;28507;649;4882;6726;358572;1717661;88079;185332;160;-
09173137;      Münsing;522314;14960;1032;9222;279;496;1157;5008;22203;-;4391;-;202089;254583;4666;2109;119;-
09173140;      Reichersbeuern;154108;4112;662;2568;1302;1237;142;76;4198;342;3075;-;59717;72532;962;3102;81;-
09173141;      Sachsenkam;159262;2385;407;2310;78;79;69;233;4349;-;21578;231;61189;59709;5937;677;31;-
09173142;      Schlehdorf;253957;2732;26;2920;50;204;77;669;3483;-;87;-;84972;127150;21806;9744;37;-
09173145;      Wackersberg;648375;5973;618;7958;80;1297;205;3438;11502;-;10674;-;270287;324733;5227;6333;50;-
09173147;      Wolfratshausen, St;91323;21336;5603;5414;840;-;328;5297;8542;934;-;-;17308;21164;2631;1553;373;-
09173444;      Gemeindefreie Gebiete;80043;16;-;20;25;-;-;-;769;-;-;-;4;65643;9567;3999;-;-
09174;    Dachau (Lkr);5791797;195093;28271;181246;19341;9280;20473;47962;245415;16771;395;-;3801435;1028301;54263;138154;5397;-
09174111;      Altomünster, M;756595;15696;1246;18826;1656;1529;270;1666;25071;426;-;-;514105;155352;2578;17954;220;-
09174113;      Bergkirchen;599658;14344;3991;18904;1542;742;2180;14089;28822;1667;-;-;396087;89625;10108;17357;200;-
09174115;      Dachau, GKSt;349633;41003;10836;29666;1081;1529;7495;5647;28708;2517;-;-;165824;35423;5664;12021;2219;-
09174118;      Erdweg;360624;10723;690;9532;378;1189;146;730;13580;717;-;-;221403;91228;2031;8090;187;-
09174121;      Haimhausen;269338;8254;544;6650;1437;-;919;969;8942;-;-;-;178205;52122;5592;5591;113;-
09174122;      Hebertshausen;295677;9151;1455;8333;486;671;543;1281;11013;1709;-;-;216461;27521;7584;9276;193;-
09174126;      Karlsfeld;156104;18269;2996;7211;1256;538;6534;1232;11851;1620;-;-;82878;9250;6970;5197;302;-
09174131;      Markt Indersdorf, M;684031;13621;1518;21492;1579;646;622;8719;22976;1000;-;-;497481;99110;2982;11803;482;-
09174135;      Odelzhausen;304439;9084;1244;7633;2425;41;168;6672;16495;-;-;-;169150;83383;1808;6219;117;-
09174136;      Petershausen;327916;8890;596;7616;412;97;162;1180;12072;3446;157;-;219362;63627;2017;8083;199;-
09174137;      Pfaffenhofen a.d.Glonn;208821;4148;185;3971;1364;774;-;400;7839;-;-;-;151161;34780;899;3248;52;-
09174141;      Röhrmoos;317471;8635;278;9067;821;-;450;1709;10958;1795;238;-;212630;63902;1081;5446;461;-
09174143;      Schwabhausen;302300;9908;444;7932;393;25;261;480;10615;576;-;-;203487;62487;1003;4503;186;-
09174146;      Sulzemoos;190402;5001;456;5184;1928;-;194;594;12153;-;-;-;118201;42640;616;3373;62;-
09174147;      Hilgertshausen-Tandern;286827;6489;665;7595;785;1156;35;864;10168;-;-;-;186676;65110;654;6504;126;-
09174150;      Vierkirchen;193835;6400;635;6876;1258;-;183;1506;7201;1298;-;-;142133;18669;1129;6392;155;-
09174151;      Weichs;188126;5477;492;4758;540;343;311;224;6951;-;-;-;126191;34072;1547;7097;123;-
09175;    Ebersberg (Lkr);5493675;184993;27909;142782;8185;9985;13091;51672;211082;15530;4117;257;2661194;2044719;51689;63137;3333;-
09175111;      Anzing;161826;5960;1780;6139;195;-;197;1098;9757;-;288;-;124788;7038;893;3626;67;-
09175112;      Aßling;313723;8237;890;8294;307;-;220;463;9228;3008;479;-;202270;75121;1555;3539;112;-
09175113;      Baiern;199642;2292;369;5509;216;-;272;378;5726;-;58;-;131373;51452;896;1060;41;-
09175114;      Bruck;215922;1920;284;4530;242;373;114;296;6502;624;202;121;131273;65508;1173;2710;50;-
09175115;      Ebersberg, St;408411;15940;1961;13737;1739;1998;1168;1156;14816;1063;127;58;205579;134934;7356;6139;640;-
09175116;      Egmating;191630;3637;454;3233;34;-;125;7326;6188;-;-;-;66449;102946;219;981;38;-
09175118;      Forstinning;122699;5899;1245;4702;82;684;242;750;7953;-;-;-;89994;7593;1284;2046;225;-
09175119;      Frauenneuharting;226935;2360;305;5653;78;-;222;121;5472;-;400;-;165868;43537;1059;1834;26;-
09175121;      Glonn, M;302281;6967;837;7744;293;260;627;566;10368;153;913;-;154138;113987;1986;3299;143;-
09175122;      Grafing b.München, St;295683;18994;1670;9674;687;16;1312;7316;12510;3182;453;-;163010;69778;1808;4975;298;-
09175123;      Hohenlinden;173160;4908;1304;6425;121;973;214;491;6989;-;-;-;89996;58800;245;2625;69;-
09175124;      Kirchseeon, M;179166;12995;2977;6752;373;1949;416;465;7428;2480;762;-;59268;80321;432;2280;268;-
09175127;      Markt Schwaben, M;108656;11736;1951;5808;430;-;1202;1578;5952;1468;-;-;65416;8391;933;3556;235;-
09175128;      Moosach;181965;2877;194;3912;112;43;122;341;5680;-;117;-;69103;93660;2968;2794;42;-
09175131;      Oberpframmern;184739;4207;915;2472;536;161;252;306;6278;-;-;-;57586;110552;80;1311;83;-
09175132;      Vaterstetten;340773;36936;1446;15033;669;483;1114;2442;25979;1064;-;78;200671;51724;351;2374;409;-
09175133;      Pliening;227884;7270;1545;6666;617;1555;251;361;7743;-;-;-;160160;11136;23578;6914;88;-
09175135;      Poing;129188;11769;5186;7478;344;197;3237;5609;8231;997;-;-;74339;9114;353;2205;129;-
09175136;      Emmering;172302;2982;205;4932;157;16;21;285;4382;-;169;-;135749;20202;2024;1140;38;-
09175137;      Steinhöring;363048;5648;1959;9059;329;51;448;17915;10170;445;82;-;223285;87377;2222;3919;139;-
09175139;      Zorneding;237851;11459;432;4737;536;816;983;1152;11498;1046;67;-;84634;118301;131;1866;193;-
09175444;      Gemeindefreie Gebiete;756191;-;-;293;88;410;332;1257;22232;-;-;-;6245;723247;143;1944;-;-
09176;    Eichstätt (Lkr);12140151;248871;55362;185354;40280;59385;13852;30825;539530;22806;627;36700;5628161;4933447;85735;255035;4181;-
09176111;      Adelschlag;519554;6386;570;6084;1126;952;117;433;17684;2068;-;-;234498;242525;393;6661;57;-
09176112;      Altmannstein, M;1141468;17103;1168;18727;1447;957;565;1124;42526;-;42;2360;558049;472364;1250;23364;422;-
09176114;      Beilngries, St;1000253;18101;4305;18627;1547;3385;820;6599;49077;825;-;-;536856;328521;8377;23002;211;-
09176116;      Böhmfeld;162609;3116;78;1697;274;395;51;321;5838;-;-;-;66866;80651;24;3266;32;-
09176118;      Buxheim;225311;7827;321;3255;255;-;153;968;9910;1494;-;-;146982;44782;2963;6265;136;-
09176120;      Denkendorf;478344;9857;2094;6695;2517;679;310;715;25881;2513;-;-;185153;231478;677;9511;264;-
09176121;      Dollnstein, M;405138;6441;1655;3029;815;107;644;521;13758;3359;-;6365;118285;239074;4134;6870;81;-
09176122;      Egweil;93894;2930;428;1237;85;-;7;274;4231;680;-;-;66507;14772;213;2509;21;-
09176123;      Eichstätt, GKSt;477959;18811;4403;13898;996;8223;1347;2004;24978;4751;-;1484;172690;205645;4460;14030;239;-
09176124;      Eitensheim;157155;5674;689;2511;822;-;286;246;9532;828;-;-;101110;31216;52;4111;78;-
09176126;      Gaimersheim, M;282095;21016;5786;7721;645;52;1673;1835;18212;939;-;281;179549;37236;611;6232;307;-
09176129;      Großmehring;474394;11583;5869;7448;5620;4009;618;1094;24098;384;-;3;298395;68880;27746;18510;137;-
09176131;      Hepberg;41592;5053;338;845;242;-;338;204;4424;-;-;2503;23470;2484;25;1618;48;-
09176132;      Hitzhofen;337901;6173;153;3045;525;406;118;834;11370;-;-;-;106808;202750;56;5572;91;-
09176137;      Kinding, M;517095;5402;2341;6805;692;5227;675;3076;29115;834;-;1265;178119;259310;7425;16653;156;-
09176138;      Kipfenberg, M;814349;11410;1994;10345;1438;120;822;1911;33377;70;-;-;271391;468863;3714;8665;229;-
09176139;      Kösching, M;556911;16338;5069;9412;4139;-;1183;1348;20554;34;-;1162;233762;254988;564;8158;200;-
09176143;      Lenting;84810;8576;1974;2161;2030;-;1015;494;8578;64;-;5953;46306;4444;195;2869;151;-
09176147;      Mindelstetten;226824;3926;47;3994;802;783;238;287;9753;-;-;35;156177;45940;213;4551;78;-
09176148;      Mörnsheim, M;334546;3440;1957;3329;5928;6295;166;403;12603;325;-;8177;131199;152739;1448;6479;58;-
09176149;      Nassenfels, M;184111;4306;594;3210;222;-;240;398;8325;374;-;49;105054;53884;1070;6294;91;-
09176150;      Oberdolling;193648;2924;1375;2548;173;513;58;359;8338;-;-;328;118507;52841;209;5404;71;-
09176153;      Pförring, M;435157;7881;1515;9333;371;577;467;702;20368;-;552;211;297751;66137;13289;15833;170;-
09176155;      Pollenfeld;456446;4812;1277;7043;1205;446;132;527;18515;-;-;-;224674;194446;-;3212;157;-
09176160;      Schernfeld;522648;5835;3187;7266;3091;10653;207;948;19238;4;-;343;225437;240053;24;6288;74;-
09176161;      Stammham;390277;8647;1613;2533;946;-;188;422;17781;2718;33;-;86922;260990;285;7007;192;-
09176164;      Titting, M;711188;4349;2213;11022;1265;14355;201;1013;33331;-;-;-;434412;197323;1578;10016;110;-
09176165;      Walting;397262;5235;1402;4142;655;452;429;614;15937;-;-;792;131587;220716;3753;11438;110;-
09176166;      Wellheim, M;338155;6726;618;4770;313;490;194;416;12571;-;-;66;117716;186719;919;6557;80;-
09176167;      Wettstetten;124755;8993;329;2591;94;-;590;735;7579;542;-;5323;73929;19772;68;4080;130;-
09176444;      Gemeindefreie Gebiete;54302;-;-;31;-;309;-;-;2048;-;-;-;-;51904;-;10;-;-
09177;    Erding (Lkr);8707261;198190;34604;280911;16690;19496;14506;40627;307368;133087;533;-;6122387;1257902;107049;170055;3856;-
09177112;      Berglern;198834;4245;446;5586;350;813;230;263;7769;-;-;-;156040;6461;5975;10603;53;-
09177113;      Bockhorn;471475;6559;578;12839;682;-;248;5841;14415;6190;53;-;353856;63440;2971;3698;105;-
09177114;      Buch a.Buchrain;227435;2787;173;5515;145;-;21;205;5387;-;-;-;105109;106838;543;677;35;-
09177115;      Dorfen, St;995573;20266;4315;36711;838;1290;1187;932;31296;3106;-;-;764364;109208;7043;14584;433;-
09177116;      Eitting;356185;4714;150;9145;3418;1817;237;973;17692;-;-;-;235086;46347;11569;24966;71;-
09177117;      Erding, GKSt;546123;36215;7277;26202;821;3172;5576;3543;27604;37874;83;-;348264;20732;14106;13779;875;-
09177118;      Finsing;231783;7821;2629;11221;2022;432;488;1618;7682;-;-;-;159687;19342;13898;4857;86;-
09177119;      Forstern;153804;4766;1135;5873;56;1966;81;554;4971;235;-;-;110006;22568;584;944;65;-
09177120;      Fraunberg;423628;6578;785;11792;403;631;244;671;15568;-;-;-;328531;51347;2773;4157;148;-
09177121;      Hohenpolding;274175;2393;464;8764;398;1924;6;206;7539;-;-;-;214596;34666;1079;2102;38;-
09177122;      Inning a.Holz;118401;2830;420;3673;67;208;8;344;4039;-;-;-;73315;30662;439;2321;75;-
09177123;      Isen, M;437816;10008;1339;13592;1039;85;446;517;12195;-;-;-;235524;157948;1601;3296;226;-
09177124;      Kirchberg;171014;1833;336;5264;110;503;118;-;4460;-;-;-;121294;34755;542;1765;34;-
09177126;      Langenpreising;274937;4696;382;6227;403;156;321;575;14073;-;-;-;210900;22151;6989;8014;50;-
09177127;      Lengdorf;339407;4378;310;11969;263;1184;51;245;9494;1096;5;-;252850;50615;2393;4477;77;-
09177130;      Moosinning;399635;10115;775;11682;323;704;674;16425;15845;141;316;-;282730;45819;5794;8195;97;-
09177131;      Neuching;196774;4294;511;5657;182;792;261;379;8561;-;-;-;161589;5828;4724;3926;70;-
09177133;      Oberding;647181;9507;4117;14857;2464;464;1442;1488;24776;78772;-;-;434242;35225;5011;34461;355;-
09177134;      Ottenhofen;102737;3837;145;3642;999;-;218;309;3077;1456;76;-;75861;9042;1907;2098;70;-
09177135;      Pastetten;220778;4426;276;6337;30;2050;40;114;6892;292;-;-;167329;28102;1630;3178;82;-
09177137;      Sankt Wolfgang;463096;6783;2232;14301;295;251;122;604;13349;-;-;-;292122;128911;1879;2103;144;-
09177138;      Steinkirchen;180808;2639;358;5031;140;171;-;237;5301;-;-;-;134540;29737;485;2136;33;-
09177139;      Taufkirchen (Vils);701817;16334;2746;26413;633;883;625;2868;23186;-;-;-;497056;118293;4884;7499;397;-
09177142;      Walpertskirchen;184483;3208;194;6209;196;-;144;313;5622;1762;-;-;140621;24097;1310;774;33;-
09177143;      Wartenberg, M;178846;8909;1786;6059;82;-;1146;773;7720;-;-;-;114071;30255;4418;3539;88;-
09177144;      Wörth;210516;8049;725;6350;331;-;572;630;8855;2163;-;-;152804;25513;2502;1906;116;-
09178;    Freising (Lkr);7998246;235975;51349;261078;27532;38204;20381;33549;347369;89079;3650;552;5086834;1555238;135448;107828;4180;-
09178113;      Allershausen;265477;9211;2155;8419;294;1182;731;864;14567;-;-;4;168892;50576;5932;2534;116;-
09178115;      Attenkirchen;161007;5536;494;5022;1462;168;547;402;6491;-;12;-;116661;22652;344;1166;50;-
09178116;      Au i.d.Hallertau, M;549907;10376;1730;17258;846;2264;143;801;17468;-;-;25;353356;140420;1170;3899;151;-
09178120;      Eching;373174;13379;11367;10290;7601;6894;4792;1662;26851;1687;-;-;251517;28840;4258;3615;421;-
09178122;      Rudelzhausen;407968;6705;478;13534;928;1393;301;9242;13327;-;-;-;252427;105525;1228;2729;151;-
09178123;      Fahrenzhausen;376347;9503;729;9262;832;-;231;1043;17224;-;1158;17;278479;47018;6200;4498;153;-
09178124;      Freising, GKSt;885840;47697;7370;45346;2598;1545;6902;5947;54093;42392;1562;75;456348;172249;18770;21679;1267;-
09178125;      Gammelsdorf;216220;2317;1043;6642;94;5842;127;274;6808;566;97;113;149401;41819;137;892;48;-
09178129;      Haag a.d.Amper;216997;5665;696;5026;923;1360;375;665;8847;278;85;-;137999;47805;4738;2413;122;-
09178130;      Hallbergmoos;350918;12008;3336;13409;1234;1513;683;1526;12683;37820;-;-;186624;57144;8207;14605;126;-
09178132;      Hörgertshausen;214778;3798;313;6913;231;716;30;280;7146;-;-;-;146801;47483;347;658;62;-
09178133;      Hohenkammer;257379;4069;1185;7090;1305;1123;133;314;9369;-;-;-;157615;72202;1708;1211;55;-
09178136;      Kirchdorf a.d.Amper;329686;5634;744;6574;318;1205;227;431;10532;-;-;-;210528;84160;4258;5027;48;-
09178137;      Kranzberg;395033;8913;1142;10521;308;920;817;876;15991;-;-;-;232285;114336;4561;4295;68;-
09178138;      Langenbach;268860;6500;1502;6891;329;1107;306;610;10013;985;-;-;149624;77570;7607;5720;96;-
09178140;      Marzling;205035;4556;191;5840;250;377;732;292;9606;703;-;191;140983;27745;8805;4710;54;-
09178142;      Mauern;241459;5288;105;7704;228;1860;28;329;7995;31;-;-;168140;47917;954;800;80;-
09178143;      Moosburg a.d.Isar, St;438522;26189;7618;14521;1250;3978;1367;2068;21640;2181;-;-;238185;87361;22380;9479;305;-
09178144;      Nandlstadt, M;343015;8248;749;11070;212;8;126;672;11012;-;-;-;249720;58454;550;2121;73;-
09178145;      Neufahrn b.Freising;455363;19317;5410;18819;2313;-;1154;3548;28630;1930;736;9;326365;36092;6517;4023;500;-
09178150;      Paunzhausen;127429;3386;80;3855;211;209;35;267;5207;-;-;-;84666;28962;97;427;27;-
09178155;      Wang;311837;5290;1204;9909;496;784;204;371;9915;296;-;-;200028;60924;17832;4478;106;-
09178156;      Wolfersdorf;260672;4348;378;7471;126;422;67;331;7689;-;-;-;186810;51719;307;963;41;-
09178157;      Zolling;345323;8042;1330;9692;3143;3334;323;734;14265;210;-;118;243380;46265;8541;5886;60;-
09179;    Fürstenfeldbruck (Lkr);4347932;287850;33346;116854;17454;15060;18801;45375;205697;56865;9537;246;2432039;971986;36858;93521;6443;-
09179111;      Adelshofen;132798;3308;155;2715;192;391;151;323;4948;-;-;-;94646;23728;659;1533;49;-
09179113;      Alling;210199;6058;791;5101;168;-;123;2076;7982;-;-;-;149988;33700;1129;2932;151;-
09179114;      Althegnenberg;160945;4329;87;1396;1107;1;-;338;4248;1311;8161;-;69657;67629;459;2150;72;-
09179117;      Egenhofen;334002;7243;2162;7877;709;709;60;552;11389;116;-;-;237866;59673;2363;3213;70;-
09179118;      Eichenau;69895;17900;462;2477;5;-;1554;936;5528;292;-;-;20423;17877;545;1601;295;-
09179119;      Emmering;109499;10615;3157;3271;727;-;537;2037;5205;968;-;-;49607;26147;2534;4465;229;-
09179121;      Fürstenfeldbruck, GKSt;325234;37792;5926;17022;1884;4999;2834;4571;23959;14761;1111;31;115585;78655;4059;10356;1689;-
09179123;      Germering, GKSt;216037;36687;1832;10684;167;-;4957;754;18325;1252;-;215;88891;45087;440;5499;1247;-
09179125;      Grafrath;144284;10136;434;2786;219;79;86;936;5527;669;-;-;42739;70384;1248;8943;98;-
09179126;      Gröbenzell;63563;32320;1768;3551;28;-;1077;1588;6901;1581;-;-;10967;1096;415;2028;243;-
09179128;      Hattenhofen;71794;2937;77;1837;371;-;196;264;2815;1207;-;-;47570;12588;121;1766;45;-
09179130;      Jesenwang;152980;2874;600;2372;695;2371;61;286;5970;648;-;-;84112;50632;341;1976;42;-
09179131;      Kottgeisering;82110;4690;17;1320;79;-;1;279;2857;954;-;-;47396;18353;685;5429;50;-
09179132;      Landsberied;105347;2542;291;1627;62;3276;18;518;3789;-;-;-;50934;41079;39;1128;44;-
09179134;      Maisach;534464;20203;4920;13807;2403;207;737;12989;21191;22986;-;-;368631;55102;3721;7211;356;-
