GENESIS-Tabelle: 13111-001;;;;;;;
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;;
Stichtag (letzte 6);;;;;;;
Beschäftigungsstatistik;;;;;;;
;;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort;Sozialversicherungspfl. Beschäftigte am Arbeitsort
;;30.06.2011;30.06.2012;30.06.2013;30.06.2014;30.06.2015;30.06.2016
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09187168;      Rimsting;825;778;851;899;956;998
09187169;      Rohrdorf;2665;2730;2781;2755;2784;2670
09187170;      Rott a.Inn;1025;1075;1116;1183;1226;1234
09187172;      Samerberg;307;299;324;346;373;379
09187173;      Schonstett;446;439;458;478;475;474
09187174;      Söchtenau;300;316;373;380;412;435
09187176;      Soyen;377;395;414;436;439;440
09187177;      Stephanskirchen;3798;3948;3963;4116;4176;4267
09187179;      Tuntenhausen;1702;1850;1854;1940;2010;2058
09187181;      Vogtareuth;1324;1375;1365;1425;1526;1510
09187182;      Wasserburg a.Inn, St;8203;8369;8444;8620;8752;8842
09187186;      Albaching;183;208;224;417;485;272
09187444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09188;    Starnberg (Lkr);40502;41910;43369;44450;45731;47886
09188113;      Berg;1941;2016;2059;2151;2194;1953
09188117;      Andechs;1010;1096;1107;1127;1127;1111
09188118;      Feldafing;800;844;881;887;890;859
09188120;      Gauting;5148;5279;5278;5246;5064;5296
09188121;      Gilching;4701;5454;5915;6230;6614;6823
09188124;      Herrsching a.Ammersee;3064;3149;3129;3172;3346;3322
09188126;      Inning a.Ammersee;879;947;973;1129;1226;1325
09188127;      Krailling;2242;2408;2477;2598;2789;3012
09188132;      Seefeld;2856;2860;2940;3057;3179;3480
09188137;      Pöcking;1002;1020;1138;1260;1305;1360
09188139;      Starnberg, St;9075;9284;9565;9722;9955;10555
09188141;      Tutzing;2044;2134;2223;2330;2366;2501
09188144;      Weßling;5030;4727;5001;4828;4949;5484
09188145;      Wörthsee;710;692;683;713;727;805
09188444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09189;    Traunstein (Lkr);56912;58690;59760;61180;63145;64736
09189111;      Altenmarkt a.d.Alz;994;1011;1013;1150;1206;1218
09189113;      Bergen;635;671;655;661;684;687
09189114;      Chieming;1362;1433;1478;1565;1596;1592
09189115;      Engelsberg;705;728;714;714;736;755
09189118;      Fridolfing;2228;2354;2484;2691;2988;3106
09189119;      Grabenstätt;1340;1552;1663;1720;1812;1892
09189120;      Grassau, M;1554;1596;1589;1544;1553;1595
09189124;      Inzell;825;806;823;819;821;836
09189126;      Kienberg;243;246;249;267;274;281
09189127;      Kirchanschöring;677;687;685;672;718;737
09189129;      Marquartstein;755;774;779;854;896;900
09189130;      Nußdorf;408;451;468;481;484;514
09189133;      Obing;754;836;869;891;921;951
09189134;      Palling;458;491;513;517;538;542
09189135;      Petting;244;273;276;293;316;337
09189137;      Pittenhart;134;131;134;133;144;156
09189139;      Reit im Winkl;860;836;849;874;874;879
09189140;      Ruhpolding;1721;1594;1648;1619;1667;1690
09189141;      Schleching;224;224;235;237;241;244
09189142;      Schnaitsee;454;468;506;525;516;508
09189143;      Seeon-Seebruck;945;1005;1021;1013;1043;1080
09189145;      Siegsdorf;2775;2860;2978;2980;3071;3173
09189146;      Staudach-Egerndach;79;77;86;92;100;101
09189148;      Surberg;206;234;253;246;252;270
09189149;      Tacherting;1556;1618;1596;1652;1701;1694
09189150;      Taching a.See;182;185;177;177;163;173
09189152;      Tittmoning, St;2029;2141;2215;2286;2371;2383
09189154;      Traunreut, St;11751;12061;12242;12519;12974;13477
09189155;      Traunstein, GKSt;13087;13406;13464;13843;14121;14534
09189157;      Trostberg, St;4496;4607;4666;4667;4804;4804
09189159;      Übersee;931;973;989;1039;1075;1068
09189160;      Unterwössen;369;377;401;382;406;410
09189161;      Vachendorf;128;133;143;153;157;173
09189162;      Waging a.See, M;1700;1748;1800;1800;1824;1878
09189165;      Wonneberg;103;103;99;104;98;98
09189444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09190;    Weilheim-Schongau (Lkr);41462;42379;42961;43939;44965;46209
09190111;      Altenstadt;819;864;854;908;944;952
09190113;      Antdorf;118;117;126;137;145;146
09190114;      Bernbeuren;238;252;260;261;271;289
09190115;      Bernried am Starnberger See;847;877;890;970;966;961
09190117;      Böbing;227;234;243;249;265;272
09190118;      Burggen;76;82;85;94;99;97
09190120;      Eberfing;97;99;105;108;116;121
09190121;      Eglfing;368;380;381;392;394;369
09190126;      Habach;99;105;121;129;148;161
09190129;      Hohenfurch;79;90;103;111;132;138
09190130;      Hohenpeißenberg;417;477;496;512;552;571
09190131;      Huglfing;373;392;402;427;454;555
09190132;      Iffeldorf;288;301;319;301;303;328
09190133;      Ingenried;108;101;100;112;109;117
09190135;      Oberhausen;104;106;107;123;125;127
09190136;      Obersöchering;173;189;252;247;246;268
09190138;      Pähl;392;427;455;515;625;569
09190139;      Peißenberg, M;2732;2839;2908;2936;2908;2896
09190140;      Peiting, M;4253;4476;4588;4685;4800;4960
09190141;      Penzberg, St;9351;9573;9656;9904;10187;10527
09190142;      Polling;621;468;458;460;484;483
09190143;      Prem;273;267;271;284;277;290
09190144;      Raisting;357;382;397;411;433;436
09190145;      Rottenbuch;289;296;301;294;292;312
09190148;      Schongau, St;7182;7204;7200;7201;7273;7462
09190149;      Schwabbruck;88;92;99;94;94;97
09190151;      Schwabsoien;168;194;198;231;247;250
09190152;      Seeshaupt;721;779;755;811;828;867
09190153;      Sindelsdorf;55;70;77;75;79;93
09190154;      Steingaden;418;441;452;455;508;529
09190157;      Weilheim i.OB, St;9400;9454;9494;9698;9829;10075
09190158;      Wessobrunn;371;362;406;392;422;471
09190159;      Wielenbach;271;299;309;322;319;333
09190160;      Wildsteig;89;90;93;90;91;87
092;  Niederbayern;404826;416044;423748;434975;445321;455108
09261;    Landshut (Krfr.St);33214;33609;34223;35096;35910;36680
09262;    Passau (Krfr.St);34609;35230;35531;36046;36392;37190
09263;    Straubing (Krfr.St);26696;26592;26784;27457;28218;29114
09271;    Deggendorf (Lkr);42882;44307;45352;46844;47852;48199
09271111;      Aholming;205;214;209;218;231;220
09271113;      Auerbach;288;301;312;322;344;368
09271114;      Außernzell;169;166;177;169;166;204
09271116;      Bernried;424;436;407;384;374;363
09271118;      Buchhofen;101;111;112;111;132;124
09271119;      Deggendorf, GKSt;20727;21213;21750;22260;22185;22659
09271122;      Grafling;233;245;238;304;303;327
09271123;      Grattersdorf;69;68;71;72;76;67
09271125;      Hengersberg, M;3740;3943;4078;4323;4405;4385
09271126;      Hunding;110;124;118;122;116;100
09271127;      Iggensbach;139;143;146;151;141;147
09271128;      Künzing;326;333;372;361;384;384
09271130;      Lalling;199;179;172;176;180;188
09271132;      Metten, M;891;937;948;954;999;855
09271135;      Moos;390;454;440;448;453;508
09271138;      Niederalteich;387;349;346;361;357;379
09271139;      Oberpöring;127;145;159;172;210;249
09271140;      Offenberg;655;688;634;650;831;883
09271141;      Osterhofen, St;3299;3470;3586;3663;3726;3790
09271143;      Otzing;271;228;237;245;237;207
09271146;      Plattling, St;7875;8214;8443;8885;9457;9228
09271148;      Schaufling;438;474;497;500;522;520
09271149;      Schöllnach, M;1041;1049;1036;1050;1077;1084
09271151;      Stephansposching;198;204;209;226;209;226
09271152;      Wallerfing;205;201;220;262;262;262
09271153;      Winzer, M;375;418;435;455;475;472
09272;    Freyung-Grafenau (Lkr);20492;21134;21672;22094;22751;23704
09272116;      Eppenschlag;149;158;150;140;88;87
09272118;      Freyung, St;4940;4996;5036;5134;5239;5415
09272119;      Fürsteneck;91;98;98;96;98;106
09272120;      Grafenau, St;3318;3366;3444;3505;3664;3774
09272121;      Grainet;234;248;263;264;287;297
09272122;      Haidmühle;170;168;168;168;170;183
09272126;      Hinterschmiding;248;239;264;287;281;300
09272127;      Hohenau;328;346;341;366;397;401
09272128;      Innernzell;364;381;405;407;414;452
09272129;      Jandelsbrunn;828;922;944;966;994;1144
09272134;      Mauth;220;224;226;216;225;255
09272136;      Neureichenau;1061;1093;1131;1153;1208;1231
09272138;      Perlesreut, M;462;470;480;515;514;548
09272139;      Philippsreut;50;53;52;58;64;83
09272140;      Ringelai;234;231;237;258;261;255
09272141;      Röhrnbach, M;1710;1927;1983;1988;2115;2191
09272142;      Saldenburg;190;206;193;200;196;200
09272143;      Sankt Oswald-Riedlhütte;223;218;229;253;265;267
09272145;      Schöfweg;117;119;128;119;113;127
09272146;      Neuschönau;319;319;347;355;394;452
09272147;      Schönberg, M;1372;1361;1474;1480;1510;1572
09272149;      Spiegelau;652;695;688;697;709;767
09272150;      Thurmansbang;325;327;340;335;358;361
09272151;      Waldkirchen, St;2648;2713;2790;2888;2944;2958
09272152;      Zenting;239;256;261;246;243;278
09272444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09273;    Kelheim (Lkr);33826;34946;35397;36196;36973;37344
09273111;      Abensberg, St;4640;4768;4913;5066;5274;5532
09273113;      Aiglsbach;112;96;100;114;112;127
09273115;      Attenhofen;297;318;108;112;111;117
09273116;      Bad Abbach, M;1633;1741;1714;1745;1862;1891
09273119;      Biburg;73;83;86;99;105;108
09273121;      Essing, M;114;127;127;128;143;150
09273125;      Hausen;226;243;273;297;296;298
09273127;      Herrngiersdorf;488;499;566;584;606;625
09273133;      Ihrlerstein;213;212;244;271;268;279
09273137;      Kelheim, St;6701;6845;6733;6660;6688;6895
09273139;      Kirchdorf;71;66;74;88;90;90
09273141;      Langquaid, M;872;934;952;1089;1127;1166
09273147;      Mainburg, St;4957;5168;5333;5500;5594;5630
09273152;      Neustadt a.d.Donau, St;7762;8072;8269;8356;8380;7975
09273159;      Painten, M;535;536;552;542;565;563
09273163;      Elsendorf;303;313;303;328;356;405
09273164;      Riedenburg, St;1093;1101;1131;1174;1224;1276
09273165;      Rohr i.NB, M;519;498;507;506;517;526
09273166;      Saal a.d.Donau;1604;1687;1720;1815;1910;2014
09273172;      Siegenburg, M;804;806;835;858;891;807
09273175;      Teugn;188;185;188;195;195;222
09273177;      Train;322;330;344;352;350;345
09273178;      Volkenschwand;210;224;225;227;227;233
09273181;      Wildenberg;89;94;100;90;82;70
09273444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09274;    Landshut (Lkr);39460;41773;42950;44184;45137;46693
09274111;      Adlkofen;415;427;457;485;511;538
09274112;      Aham;203;205;179;200;211;243
09274113;      Altdorf, M;2445;2803;2743;2759;2856;3141
09274114;      Altfraunhofen;376;333;353;402;388;385
09274118;      Baierbach;61;59;57;60;62;65
09274119;      Bayerbach b.Ergoldsbach;463;464;478;479;487;483
09274120;      Bodenkirchen;1278;1368;1408;1417;1454;1464
09274121;      Buch a.Erlbach;502;513;505;537;639;571
09274124;      Eching;1295;1410;1464;1647;1767;1822
09274126;      Ergolding, M;7259;8040;8364;8231;7888;8106
09274127;      Ergoldsbach, M;1007;1032;1019;1038;1068;1158
09274128;      Essenbach, M;4287;4647;4778;4829;4828;4783
09274132;      Furth;513;529;533;539;556;591
09274134;      Geisenhausen, M;1570;1692;1772;1871;1834;1930
09274135;      Gerzen;260;256;267;291;308;311
09274141;      Hohenthann;406;425;479;546;577;609
09274145;      Kröning;82;79;69;73;73;79
09274146;      Kumhausen;596;653;685;696;766;790
09274153;      Neufahrn i.NB;891;944;976;1041;1045;1032
09274154;      Neufraunhofen;119;121;129;136;144;140
09274156;      Niederaichbach;486;543;519;861;938;1049
09274165;      Obersüßbach;106;111;120;126;143;135
09274172;      Pfeffenhausen, M;854;842;878;899;933;899
09274174;      Postau;71;76;76;71;73;78
09274176;      Rottenburg a.d.Laaber, St;2319;2402;2450;2512;2549;2563
09274179;      Schalkham;46;53;38;38;43;37
09274182;      Tiefenbach;392;398;423;428;434;453
09274183;      Velden, M;1413;1451;1443;1470;1495;1509
09274184;      Vilsbiburg, St;7099;7304;7616;7674;8072;8497
09274185;      Vilsheim;185;164;174;196;213;229
09274187;      Weihmichl;147;143;150;165;179;190
09274188;      Weng;154;158;142;157;232;316
09274191;      Wörth a.d.Isar;915;812;831;851;832;878
09274193;      Wurmsham;110;110;115;121;111;122
09274194;      Bruckberg;1135;1206;1260;1338;1428;1497
09275;    Passau (Lkr);51134;52508;53445;54758;56125;57351
09275111;      Aicha vorm Wald;973;1036;1050;1051;1010;1028
09275112;      Aidenbach, M;684;677;704;735;756;756
09275114;      Aldersbach;1786;1742;1689;1767;1851;1837
09275116;      Bad Füssing;3618;3684;3623;3643;3679;3704
09275117;      Beutelsbach;72;65;70;67;72;89
09275118;      Breitenberg;226;246;264;253;244;250
09275119;      Büchlberg;1289;1262;1302;1335;1318;1311
09275120;      Eging a.See, M;1335;1405;1450;1445;1532;1558
09275121;      Fürstenstein;535;536;554;571;583;596
09275122;      Fürstenzell, M;1856;1882;1936;1949;1985;2085
09275124;      Bad Griesbach i.Rottal, St;2775;2752;2803;2918;2919;3013
09275125;      Haarbach;331;356;358;350;340;359
09275126;      Hauzenberg, St;3321;3500;3558;3716;3795;3853
09275127;      Hofkirchen, M;730;779;805;871;1023;1127
09275128;      Hutthurm, M;1473;1563;1768;1800;1962;2070
09275130;      Kirchham;563;557;596;576;542;548
09275131;      Kößlarn, M;270;262;266;264;267;271
09275132;      Malching;112;116;110;111;114;120
09275133;      Neuburg a.Inn;886;920;982;976;1034;1090
09275134;      Neuhaus a.Inn;813;794;787;816;815;871
09275135;      Neukirchen vorm Wald;609;602;594;589;591;615
09275137;      Obernzell, M;1380;1407;1452;1529;1581;1618
09275138;      Ortenburg, M;1780;1838;1929;1955;2043;2116
09275141;      Pocking, St;3953;4080;4174;4282;4354;4367
09275143;      Rotthalmünster, M;1990;2061;2163;2227;2239;2174
09275144;      Ruderting;596;640;644;681;665;690
09275145;      Ruhstorf a.d.Rott, M;3420;3508;3463;3443;3458;3443
09275146;      Salzweg;1550;1622;1603;1697;1695;1694
09275148;      Sonnen;133;134;138;128;139;155
09275149;      Tettenweis;270;284;270;283;295;353
09275150;      Thyrnau;1579;1692;1749;1823;1881;1939
09275151;      Tiefenbach;1102;1117;1184;1247;1255;1308
09275152;      Tittling, M;1525;1558;1585;1607;1592;1579
09275153;      Untergriesbach, M;946;969;987;1005;1079;1104
09275154;      Vilshofen an der Donau, St;4974;5150;5088;5237;5455;5359
09275156;      Wegscheid, M;1174;1192;1218;1226;1323;1380
09275159;      Windorf, M;356;371;381;429;453;736
09275160;      Witzmannsberg;149;149;148;156;186;185
09276;    Regen (Lkr);23338;23861;24164;25138;25796;26302
09276111;      Achslach;74;75;69;67;64;71
09276113;      Arnbruck;367;372;379;391;394;391
09276115;      Bayerisch Eisenstein;250;241;239;232;226;240
09276116;      Bischofsmais;625;573;603;616;620;659
09276117;      Bodenmais, M;1411;1437;1463;1502;1529;1576
09276118;      Böbrach;91;88;87;91;90;118
09276120;      Drachselsried;395;415;417;437;447;460
09276121;      Frauenau;533;559;573;587;581;456
09276122;      Geiersthal;325;462;526;542;553;570
09276123;      Gotteszell;165;174;172;187;217;245
09276126;      Kirchberg i.Wald;559;641;657;742;779;806
09276127;      Kirchdorf i.Wald;309;329;260;266;278;281
09276128;      Kollnburg;369;377;392;404;427;462
09276129;      Langdorf;114;104;108;111;118;104
09276130;      Lindberg;230;246;242;250;240;232
09276134;      Patersdorf;206;219;217;223;222;253
09276135;      Prackenbach;327;316;334;367;378;388
09276138;      Regen, St;5698;5860;5929;6145;6083;6278
09276139;      Rinchnach;320;335;303;289;293;307
09276142;      Ruhmannsfelden, M;548;545;532;546;564;573
09276143;      Teisnach, M;1788;1831;1880;1993;2146;2210
09276144;      Viechtach, St;4840;4797;4905;5106;5479;5529
09276146;      Zachenberg;190;190;174;187;209;236
09276148;      Zwiesel, St;3604;3675;3703;3857;3859;3857
09277;    Rottal-Inn (Lkr);34309;35495;35650;36102;36855;37177
09277111;      Arnstorf, M;4311;4800;4615;4654;4583;4658
09277112;      Bayerbach;105;129;130;133;225;230
09277113;      Bad Birnbach, M;2113;2067;2079;2181;2234;2049
09277114;      Dietersburg;399;396;422;422;427;438
09277116;      Eggenfelden, St;7873;8114;8106;8004;8119;8271
09277117;      Egglham;296;316;321;338;334;349
09277118;      Ering;144;153;150;153;159;152
09277119;      Falkenberg;1010;1068;1033;1015;1038;1033
09277121;      Gangkofen, M;1007;1060;1088;1143;1203;1228
09277122;      Geratskirchen;94;87;91;80;87;96
09277124;      Hebertsfelden;586;606;620;658;694;716
09277126;      Johanniskirchen;549;556;584;610;638;675
09277127;      Julbach;199;214;215;230;242;247
09277128;      Kirchdorf a.Inn;541;576;560;569;634;650
09277131;      Malgersdorf;185;197;204;210;208;252
09277133;      Massing, M;1592;1606;1576;1656;1683;1737
09277134;      Mitterskirchen;270;283;298;301;346;354
09277138;      Pfarrkirchen, St;5946;5947;6043;6021;6126;6145
09277139;      Postmünster;266;284;286;296;301;302
09277140;      Reut;98;98;104;98;105;97
09277141;      Rimbach;40;53;59;65;66;70
09277142;      Roßbach;455;468;450;479;504;479
09277144;      Schönau;206;213;240;243;261;277
09277145;      Simbach a.Inn, St;2763;2890;2988;3096;3075;3119
09277147;      Stubenberg;74;75;76;75;82;76
09277148;      Tann, M;690;703;732;750;766;747
09277149;      Triftern, M;801;793;795;779;822;835
09277151;      Unterdietfurt;290;303;318;331;338;344
09277152;      Wittibreut;442;394;372;361;382;383
09277153;      Wurmannsquick, M;540;607;627;659;674;646
09277154;      Zeilarn;424;439;468;492;499;522
09278;    Straubing-Bogen (Lkr);20592;21183;21932;22603;23790;24760
09278112;      Aholfing;104;96;101;108;123;121
09278113;      Aiterhofen;439;457;480;527;520;508
09278116;      Ascha;221;181;178;190;197;203
09278117;      Atting;316;342;375;409;412;431
09278118;      Bogen, St;4049;4103;4178;4286;4546;4995
09278120;      Falkenfels;57;53;51;57;53;39
09278121;      Feldkirchen;252;262;266;280;272;273
09278123;      Geiselhöring, St;1860;1896;1854;1594;1727;1759
09278129;      Haibach;173;169;182;184;193;207
09278134;      Haselbach;127;138;159;153;149;151
09278139;      Hunderdorf;610;641;652;659;538;564
09278140;      Irlbach;151;150;150;153;156;117
09278141;      Kirchroth;443;470;437;472;488;491
09278143;      Konzell;862;907;953;1010;1064;1075
09278144;      Laberweinting;331;335;371;372;371;393
09278146;      Leiblfing;839;846;906;936;1057;1049
09278147;      Loitzendorf;51;.;.;.;.;37
09278148;      Mallersdorf-Pfaffenberg, M;1882;1949;1991;2071;2166;2261
09278149;      Mariaposching;64;70;75;68;77;106
09278151;      Mitterfels, M;740;773;806;848;870;900
09278154;      Neukirchen;216;218;202;217;217;251
09278159;      Niederwinkling;1355;1356;1627;1738;1859;1937
09278167;      Oberschneiding;418;462;481;491;529;565
09278170;      Parkstetten;287;310;315;326;357;378
09278171;      Perasdorf;76;.;.;.;.;73
09278172;      Perkam;161;167;165;168;162;166
09278177;      Rain;295;323;340;353;367;366
09278178;      Rattenberg;347;366;361;403;470;446
09278179;      Rattiszell;570;575;590;596;611;641
09278182;      Salching;870;971;1038;1076;1220;1214
09278184;      Sankt Englmar;450;470;476;462;495;524
09278187;      Schwarzach, M;620;594;586;626;629;644
09278189;      Stallwang;172;179;183;179;194;199
09278190;      Steinach;305;307;383;365;426;447
09278192;      Straßkirchen;538;583;561;591;576;578
09278197;      Wiesenfelden;271;277;271;441;503;569
09278198;      Windberg;70;71;70;77;77;82
09279;    Dingolfing-Landau (Lkr);44274;45406;46648;48457;49522;50594
09279112;      Dingolfing, St;26837;27220;27769;28547;29306;29818
09279113;      Eichendorf, M;1118;1132;1160;1321;1269;1312
09279115;      Frontenhausen, M;731;782;883;930;939;962
09279116;      Gottfrieding;157;157;162;190;207;240
09279122;      Landau a.d.Isar, St;4821;4921;5408;5545;5564;5601
09279124;      Loiching;562;678;706;740;749;795
09279125;      Mamming;675;656;675;781;858;944
09279126;      Marklkofen;3421;3590;3651;3787;3792;3842
09279127;      Mengkofen;1164;1203;1250;1387;1403;1379
09279128;      Moosthenning;494;619;639;698;799;773
09279130;      Niederviehbach;279;314;364;437;631;678
09279132;      Pilsting, M;1025;1074;926;839;828;935
09279134;      Reisbach, M;990;1019;1054;1271;1299;1311
09279135;      Simbach, M;967;915;881;852;835;822
09279137;      Wallersdorf, M;1033;1126;1120;1132;1043;1182
093;  Oberpfalz;398285;408629;414247;424226;434682;447027
09361;    Amberg (Krfr.St);24078;24524;25021;25317;25863;26361
09362;    Regensburg (Krfr.St);102483;105200;106495;109423;113260;118020
09363;    Weiden i.d.OPf. (Krfr.St);25336;25879;26098;26616;26567;27161
09371;    Amberg-Sulzbach (Lkr);24957;25697;26282;26950;27488;27581
09371111;      Ammerthal;262;278;257;264;260;166
09371113;      Auerbach i.d.OPf., St;3417;3542;3623;3661;3768;3850
09371116;      Birgland;187;204;217;232;244;247
09371118;      Ebermannsdorf;636;686;722;760;808;848
09371119;      Edelsfeld;422;444;454;464;496;505
09371120;      Ensdorf;212;225;219;228;241;251
09371121;      Freihung, M;322;328;340;358;366;338
09371122;      Freudenberg;371;391;411;430;446;453
09371123;      Gebenbach;107;122;125;117;126;119
09371126;      Hahnbach, M;549;581;594;618;634;702
09371127;      Hirschau, St;2429;2460;2471;2440;2448;2412
09371128;      Hirschbach;200;200;164;163;161;165
09371129;      Hohenburg, M;147;149;155;151;161;163
09371131;      Illschwang;237;245;254;247;267;281
09371132;      Kastl, M;295;301;286;293;279;304
09371135;      Königstein, M;278;288;293;300;297;301
09371136;      Kümmersbruck;2416;2503;2620;2801;2912;2735
09371140;      Etzelwang;142;150;155;161;158;149
09371141;      Neukirchen b.Sulzbach-Rosenberg;454;448;455;440;444;421
09371144;      Poppenricht;179;184;191;209;209;207
09371146;      Rieden, M;391;405;381;374;374;365
09371148;      Schmidmühlen, M;349;357;377;384;372;377
09371150;      Schnaittenbach, St;789;815;842;801;827;850
09371151;      Sulzbach-Rosenberg, St;7651;7886;8136;8497;8711;8826
09371154;      Ursensollen;680;675;747;772;785;833
09371156;      Vilseck, St;1720;1709;1675;1661;1583;1601
09371157;      Weigendorf;115;121;118;124;111;112
09371444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09372;    Cham (Lkr);45464;46689;46814;47452;48597;49973
09372112;      Arnschwang;193;191;199;205;216;228
09372113;      Arrach;419;443;402;409;371;368
09372115;      Blaibach;159;181;191;200;216;207
09372116;      Cham, St;14146;14575;14888;15057;15320;15805
09372117;      Chamerau;726;729;668;599;580;601
09372124;      Eschlkam, M;423;412;443;469;470;479
09372125;      Falkenstein, M;566;570;617;624;638;633
09372126;      Furth im Wald, St;3264;3203;3066;3118;3138;3290
09372128;      Gleißenberg;.;.;.;.;.;.
09372130;      Grafenwiesen;181;175;172;180;193;196
09372135;      Hohenwarth;263;261;270;252;216;214
09372137;      Bad Kötzting, St;3167;3276;3394;3513;3589;3702
09372138;      Lam, M;637;632;646;671;775;791
09372142;      Michelsneukirchen;207;233;242;254;266;276
09372143;      Miltach;677;715;745;763;767;805
09372144;      Neukirchen b.Hl.Blut, M;590;628;616;693;752;751
09372146;      Pemfling;341;349;319;266;263;246
09372147;      Pösing;282;255;229;243;235;240
09372149;      Reichenbach;902;899;932;972;971;929
09372150;      Rettenbach;125;112;126;135;138;159
09372151;      Rimbach;210;233;223;226;228;239
09372153;      Roding, St;8562;8796;8438;8161;8355;8452
09372154;      Rötz, St;1044;1097;1137;1216;1226;1250
09372155;      Runding;458;475;501;573;591;620
09372157;      Schönthal;256;265;281;284;289;280
09372158;      Schorndorf;304;301;297;308;375;396
09372161;      Stamsried, M;266;263;249;265;260;263
09372163;      Tiefenbach;157;173;185;192;210;176
09372164;      Traitsching;337;357;368;371;419;425
09372165;      Treffelstein;79;84;91;88;93;91
09372167;      Zell;116;121;125;134;144;140
09372168;      Waffenbrunn;202;255;263;248;250;246
09372169;      Wald;728;749;742;737;758;776
09372170;      Walderbach;480;475;488;514;536;547
09372171;      Waldmünchen, St;1621;1620;1624;1751;1800;1938
09372174;      Weiding;440;469;483;521;544;593
09372175;      Willmering;400;430;443;429;427;449
09372177;      Zandt;.;.;.;.;.;.
09372178;      Lohberg;166;187;181;186;252;250
09373;    Neumarkt i.d.OPf. (Lkr);41425;42491;43053;44337;45358;46697
09373112;      Berching, St;2786;2852;2892;3069;3165;3259
09373113;      Berg b.Neumarkt i.d.OPf.;1186;1199;1154;1145;1180;1255
09373114;      Berngau;375;392;417;436;468;455
09373115;      Breitenbrunn, M;297;293;283;316;317;333
09373119;      Deining;403;391;403;445;430;448
09373121;      Dietfurt a.d.Altmühl, St;1680;1721;1802;1810;1854;1906
09373126;      Freystadt, St;1597;1620;1669;1637;1711;1739
09373134;      Hohenfels, M;1115;1049;990;961;982;972
09373140;      Lauterhofen, M;1170;1219;1291;1302;1321;1358
09373143;      Lupburg, M;486;556;569;614;697;771
09373146;      Mühlhausen;1361;1376;1412;1472;1567;1689
09373147;      Neumarkt i.d.OPf., GKSt;18593;19014;19103;19719;20125;20718
09373151;      Parsberg, St;2585;2667;2637;2648;2695;2751
09373153;      Pilsach;326;380;362;391;380;385
09373155;      Postbauer-Heng, M;1778;1828;1703;1763;1851;1903
09373156;      Pyrbaum, M;777;792;809;859;872;935
09373159;      Sengenthal;3463;3655;3893;4155;4104;4188
09373160;      Seubersdorf i.d.OPf.;520;517;536;563;573;569
09373167;      Velburg, St;927;970;1128;1032;1066;1063
09374;    Neustadt a.d.Waldnaab (Lkr);26527;27084;27392;28041;28723;29597
09374111;      Altenstadt a.d.Waldnaab;1111;1166;1254;1214;1205;1259
09374117;      Eschenbach i.d.OPf., St;2297;2286;2191;2166;2158;2262
09374118;      Eslarn, M;678;653;595;624;662;658
09374119;      Etzenricht;45;35;34;37;.;.
09374121;      Floß, M;941;975;988;1023;1053;1076
09374122;      Flossenbürg;488;498;506;545;531;482
09374123;      Georgenberg;74;81;86;83;88;92
09374124;      Grafenwöhr, St;3260;3071;2914;2876;2847;2904
09374127;      Irchenrieth;876;950;978;1022;1163;1190
09374128;      Kirchendemenreuth;49;53;53;54;59;57
09374129;      Kirchenthumbach, M;342;388;430;503;596;669
09374131;      Kohlberg, M;75;80;85;84;90;103
09374132;      Leuchtenberg, M;146;153;156;157;176;180
09374133;      Luhe-Wildenau, M;1128;1184;1237;1370;1417;1487
09374134;      Mantel, M;342;345;358;354;356;360
09374137;      Moosbach, M;286;296;289;295;283;283
09374139;      Neustadt a.d.Waldnaab, St;1367;1321;1365;1420;1598;1840
09374140;      Neustadt am Kulm, St;60;60;65;64;72;60
09374144;      Parkstein, M;1057;1197;1402;1594;1696;1842
09374146;      Pirk;.;.;.;.;891;897
09374147;      Pleystein, St;666;708;720;750;758;779
09374148;      Trabitz;572;587;568;539;471;430
09374149;      Pressath, St;1104;1135;1146;1187;1168;1180
09374150;      Püchersreuth;104;106;104;109;98;106
09374154;      Schirmitz;156;165;169;196;185;199
09374155;      Schlammersdorf;95;106;108;103;114;114
09374156;      Schwarzenbach;143;158;164;184;194;190
09374157;      Speinshart;94;103;110;121;129;124
09374158;      Störnstein;387;404;408;442;442;465
09374159;      Tännesberg, M;202;197;204;203;205;193
09374160;      Theisseil;58;63;65;67;66;63
09374162;      Vohenstrauß, St;1901;1987;2080;2122;2191;2214
09374163;      Vorbach;.;.;.;.;.;.
09374164;      Waidhaus, M;675;727;722;713;703;707
09374165;      Waldthurn, M;274;281;273;284;286;294
