GENESIS-Tabelle: Temporär
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;
Nutzung (6)/(10)/(17), Jahr;;;;;;;;;;;;;;;;;;;
(von 2011 bis 2015);;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;
31.12.2012;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
09171112;      Burghausen, St;198111;24949;22088;10987;14323;-;1589;2540;14822;812;-;-;47342;45323;8766;4287;283;-
09171113;      Burgkirchen a.d.Alz;461946;17609;12886;13223;3404;244;955;1250;18161;1561;-;-;248662;134020;6174;3662;135;-
09171114;      Emmerting;140722;8341;90;2738;220;1294;191;387;5161;-;-;-;28134;91495;1745;926;-;-
09171115;      Erlbach;281355;1504;31;8370;261;429;63;323;7790;-;-;-;189591;71678;405;910;-;-
09171116;      Feichten a.d.Alz;179166;2398;213;4411;516;96;6;294;4793;859;-;-;121684;40895;2194;781;26;-
09171117;      Garching a.d.Alz;258633;17917;1798;10041;379;847;203;1147;10787;2369;-;-;141129;65778;4064;2063;111;-
09171118;      Haiming;287343;6071;1584;6692;930;1140;5;6689;9504;-;-;-;112565;112819;21545;7751;48;-
09171119;      Halsbach;220775;1759;246;5663;5;62;20;268;5213;-;-;-;168898;36870;270;1501;-;-
09171121;      Kastl;276060;4271;2102;8211;210;3141;24;388;8682;1011;-;-;173067;72178;929;1799;47;-
09171122;      Kirchweidach;201512;4493;707;6139;998;-;47;344;5888;980;-;-;158528;22532;210;607;39;-
09171123;      Marktl, M;278407;5842;578;6499;154;442;372;2126;10243;903;89;-;106925;129325;12388;2474;47;-
09171124;      Mehring;233783;4059;733;5037;701;206;61;358;8736;64;-;-;100152;109169;2276;2136;95;-
09171125;      Neuötting, St;365993;14350;2163;10005;1353;1087;579;675;20758;-;-;-;115444;179974;12361;7087;157;-
09171126;      Perach;141356;2592;336;4306;267;709;18;263;4393;1333;61;-;69300;48241;6769;2745;23;-
09171127;      Pleiskirchen;526180;4085;416;15001;410;-;170;4480;14165;-;-;-;350472;133276;1052;2631;22;-
09171129;      Reischach;284624;5415;476;7519;319;368;65;465;8558;40;-;-;169396;88582;880;2513;28;-
09171130;      Stammham;56799;3009;210;1367;449;13;-;729;2555;706;-;-;25713;17583;3649;727;89;-
09171131;      Teising;53712;3553;1448;1485;229;631;74;290;2184;-;-;-;27619;13784;1279;1136;-;-
09171132;      Töging a.Inn, St;136525;16876;5012;4924;2198;981;136;923;10148;1386;-;-;53953;29837;6555;3331;265;-
09171133;      Tüßling, M;195528;7258;434;6104;70;49;262;460;7088;2132;-;-;136734;31348;1170;2320;99;-
09171134;      Tyrlaching;205476;1721;128;5302;7;345;16;83;4769;942;-;-;151144;39772;202;1031;14;-
09171135;      Unterneukirchen;232612;4705;3271;8316;746;584;115;393;8911;490;-;-;173005;27839;2446;1791;-;-
09171137;      Winhöring;245885;11173;1975;6245;493;312;256;592;13312;2211;-;-;106458;91423;5761;5584;90;-
09172;    Berchtesgadener Land (Lkr);8399186;159080;24860;133819;9102;7577;7175;22212;200402;17054;8369;1849;1885925;4357517;154770;1407066;2409;-
09172111;      Ainring;329588;15146;2906;10644;416;485;357;5650;10939;2296;5719;-;175811;88579;7006;3499;135;-
09172112;      Anger;459076;6940;619;8749;188;-;84;547;14261;-;960;63;161121;259801;3981;1669;93;-
09172114;      Bad Reichenhall, GKSt;419217;20965;2667;14828;726;-;2391;2113;17966;816;-;-;46208;272647;8067;29435;388;-
09172115;      Bayerisch Gmain;123291;6623;121;2174;212;90;723;434;4039;947;204;-;15495;72843;1033;18248;105;-
09172116;      Berchtesgaden, M;356291;11856;1314;9667;475;170;636;3295;16233;285;273;-;77210;220553;3719;10489;116;-
09172117;      Bischofswiesen;621549;12218;1572;10938;1183;1060;281;1357;13303;1478;275;-;86199;431283;3747;56655;-;-
09172118;      Freilassing, St;148153;18763;5867;9450;1078;513;1183;1713;11354;3148;-;-;50822;37558;3782;2620;302;-
09172122;      Laufen, St;352796;10988;952;11321;369;1148;607;1914;13737;2025;-;-;186573;107828;10606;4427;301;-
09172124;      Marktschellenberg, M;176638;2766;299;3644;64;229;46;199;4831;-;-;-;57283;102747;2259;2234;37;-
09172128;      Piding;176719;8123;1412;4381;324;-;82;764;7840;832;-;-;42601;101722;3214;5316;108;-
09172129;      Ramsau b.Berchtesgaden;1291877;3095;448;4205;113;-;118;456;10509;-;249;330;83503;667432;5346;516018;55;-
09172130;      Saaldorf-Surheim;391018;10220;1986;10270;498;2001;157;749;13667;1412;-;-;241063;89778;15990;3148;79;-
09172131;      Schneizlreuth;1072864;3173;1029;4428;604;1208;-;506;15524;-;-;-;51825;865581;14748;114214;24;-
09172132;      Schönau a.Königssee;1316347;12863;726;7045;190;63;305;1159;10282;-;-;1456;119482;536958;61951;563397;470;-
09172134;      Teisendorf, M;867638;15341;2942;21787;2659;610;205;1356;30908;3815;689;-;480806;294241;7162;4921;196;-
09172444;      Gemeindefreie Gebiete;296124;-;-;288;3;-;-;-;5009;-;-;-;9923;207966;2159;70776;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);11106881;213758;40317;142554;9410;14846;12006;40098;254799;9024;207388;7818;3192264;6173877;439308;346027;3387;-
09173111;      Bad Heilbrunn;403184;8177;584;5979;94;-;459;576;9019;-;15170;-;163429;185988;7962;5663;84;-
09173112;      Bad Tölz, St;308003;22750;3698;12663;1022;101;1351;3080;14969;828;12043;-;109524;111186;10231;3939;618;-
09173113;      Benediktbeuern;378754;6594;667;4324;54;-;88;367;6106;296;21256;8;119879;204379;5048;9595;93;-
09173115;      Bichl;139206;4033;459;1761;275;-;294;230;5426;540;229;-;50752;69503;3979;1681;44;-
09173118;      Dietramszell;968145;11298;1614;18100;561;2596;428;1294;24501;-;16329;-;432604;446109;6956;5596;159;-
09173120;      Egling;740505;13300;2500;13388;340;3831;375;6129;19550;-;14757;-;322159;322467;15747;5813;149;-
09173123;      Eurasburg;408625;9990;1646;8004;987;191;183;5132;12561;-;6483;-;200865;152748;6083;3674;78;-
09173124;      Gaißach;385489;4934;737;4825;393;-;7;1874;8078;935;6890;1;120229;223756;5480;7281;69;-
09173126;      Geretsried, St;245986;24564;15369;10197;487;18;914;1967;13572;190;2342;41;72317;94543;4596;3967;902;-
09173127;      Greiling;76571;3122;149;1163;433;-;-;218;2517;883;2157;-;44574;18664;690;2001;-;-
09173130;      Icking;169972;16154;135;4181;120;-;215;2722;9971;935;293;94;68763;64100;211;1950;128;-
09173131;      Jachenau;1286595;1744;442;2898;256;149;11;453;15268;-;2940;-;141211;1074809;13579;32801;34;-
09173133;      Kochel a.See;801162;11256;905;5988;828;153;518;1018;12487;756;20331;-;108532;379013;213339;45912;126;-
09173134;      Königsdorf;456831;6263;855;6156;94;2208;2024;1866;9435;1776;41423;289;184658;188668;6589;4475;52;-
09173135;      Lenggries;2428497;18123;2186;12244;777;2377;321;1522;32844;617;5047;7154;357100;1715152;87974;184899;160;-
09173137;      Münsing;522309;15010;1047;9369;291;496;3911;1774;22991;-;4387;-;201437;254442;4895;2140;119;-
09173140;      Reichersbeuern;154106;4131;688;2559;1303;1392;142;76;4908;332;3075;-;59563;71818;962;3076;81;-
09173141;      Sachsenkam;159260;2381;416;2301;78;51;69;233;4588;-;21594;231;61224;59598;5946;519;31;-
09173142;      Schlehdorf;253956;2760;26;2935;54;204;77;669;3858;-;232;-;85160;126690;21664;9590;37;-
09173145;      Wackersberg;648366;5967;616;7925;97;1079;273;3608;12781;-;10410;-;271029;323451;5237;5843;50;-
09173147;      Wolfratshausen, St;91317;21191;5578;5574;841;-;340;5290;8545;936;-;-;17251;21210;2631;1557;373;-
09173444;      Gemeindefreie Gebiete;80042;16;-;20;25;-;6;-;824;-;-;-;4;65583;9509;4055;-;-
09174;    Dachau (Lkr);5791777;196864;28542;181258;19516;8799;20437;47842;244064;16772;400;-;3800491;1028488;54148;138771;5385;-
09174111;      Altomünster, M;756591;15836;1246;18767;1657;1523;270;1665;25075;426;-;-;514164;155437;2582;17721;222;-
09174113;      Bergkirchen;599659;14341;4103;19152;1585;780;2232;14014;28838;1667;-;-;396236;89573;10111;16827;200;-
09174115;      Dachau, GKSt;349631;41157;10595;29685;1049;1473;7325;5647;28962;2545;-;-;165948;35404;5664;11958;2219;-
09174118;      Erdweg;360623;10929;710;9416;368;1189;146;730;13584;717;-;-;221414;91233;2038;7962;187;-
09174121;      Haimhausen;269339;8320;544;6659;1437;-;920;975;8948;-;-;-;178201;52046;5592;5584;113;-
09174122;      Hebertshausen;295674;9205;1356;8511;486;671;579;1281;11052;1711;-;-;216118;27508;7583;9420;193;-
09174126;      Karlsfeld;156106;18318;3196;7124;1250;538;6494;1232;11957;1620;-;-;82809;9205;6970;5091;302;-
09174131;      Markt Indersdorf, M;684026;13944;1624;21362;1484;568;651;8719;23107;1000;-;-;496665;99150;2974;12310;468;-
09174135;      Odelzhausen;304442;9179;1264;7507;2425;41;168;6671;15755;-;-;-;169238;83458;1805;6814;117;-
09174136;      Petershausen;327915;9021;596;7622;412;97;166;1180;12126;3437;157;-;219127;63671;2017;8087;199;-
09174137;      Pfaffenhofen a.d.Glonn;208821;4214;201;4019;1610;455;-;400;7854;-;-;-;151192;34777;899;3148;52;-
09174141;      Röhrmoos;317467;8773;354;8867;850;-;451;1692;10939;1794;243;-;212709;63889;1077;5368;461;-
09174143;      Schwabhausen;302299;9903;449;7963;362;31;254;480;10533;574;-;-;203649;62577;997;4341;186;-
09174146;      Sulzemoos;190399;5102;496;5139;1939;-;194;557;11138;-;-;-;118859;42388;617;3908;62;-
09174147;      Hilgertshausen-Tandern;286824;6541;665;7718;772;1090;38;864;10128;-;-;-;185927;65508;651;6796;126;-
09174150;      Vierkirchen;193836;6553;667;6927;1290;-;238;1511;7122;1281;-;-;142049;18566;1024;6453;155;-
09174151;      Weichs;188125;5528;476;4820;540;343;311;224;6946;-;-;-;126186;34098;1547;6983;123;-
09175;    Ebersberg (Lkr);5493694;186188;28529;143361;9281;9203;13047;51626;213505;15519;4114;257;2657269;2045052;51869;61538;3336;-
09175111;      Anzing;161820;6098;1021;6763;195;-;197;1089;10071;-;288;-;124099;7226;958;3748;67;-
09175112;      Aßling;313718;8303;846;8446;428;-;222;463;9239;3011;479;-;202028;75169;1541;3431;112;-
09175113;      Baiern;199640;2310;355;5543;208;-;252;378;5723;-;58;-;131342;51468;897;1046;60;-
09175114;      Bruck;215915;1924;284;4516;242;373;114;296;6508;624;202;121;131337;65511;1172;2641;50;-
09175115;      Ebersberg, St;408410;15892;1906;13875;1749;1998;1194;1156;15128;1059;127;58;205467;134623;7384;6154;640;-
09175116;      Egmating;191633;3660;549;3167;88;-;134;7326;6192;-;-;-;66447;102987;219;826;38;-
09175118;      Forstinning;122705;5882;1245;4715;676;684;242;750;7954;-;-;-;89397;7587;1284;2064;225;-
09175119;      Frauenneuharting;226934;2387;306;5675;78;-;221;122;5459;-;397;-;165942;43518;1060;1743;26;-
09175121;      Glonn, M;302288;7092;840;7857;316;260;605;566;10403;153;913;-;154015;113987;1985;3153;143;-
09175122;      Grafing b.München, St;295685;19096;1701;9836;624;16;1301;7309;12569;3182;453;-;162982;69678;1808;4832;298;-
09175123;      Hohenlinden;173160;4996;1425;6446;121;973;216;491;7005;-;-;-;90136;58976;245;2061;69;-
09175124;      Kirchseeon, M;179167;12987;3061;6784;373;1407;418;465;8136;2468;762;-;59290;79827;432;2489;268;-
09175127;      Markt Schwaben, M;108659;11819;2953;4689;701;-;1196;1578;6447;1477;-;-;64832;8887;980;2865;235;-
09175128;      Moosach;181966;2989;195;3852;141;43;122;341;5872;-;117;-;69063;93559;2969;2661;42;-
09175131;      Oberpframmern;184740;4294;909;2734;572;161;268;306;6283;-;-;-;57411;110533;80;1122;67;-
09175132;      Vaterstetten;340766;37120;1445;15087;689;483;1120;2378;25972;1057;-;78;200720;51695;367;2146;409;-
09175133;      Pliening;227886;7373;1551;6637;617;1328;251;368;8362;-;-;-;159836;11201;23618;6656;88;-
09175135;      Poing;129204;11874;5186;7599;344;197;3071;5635;8213;997;-;-;73393;9128;353;3085;129;-
09175136;      Emmering;172302;2962;205;4993;202;16;21;285;4383;-;169;-;135686;20196;2021;1125;38;-
09175137;      Steinhöring;363048;5663;1994;9120;293;38;573;17915;10192;445;82;-;222915;87401;2222;4056;139;-
09175139;      Zorneding;237853;11467;552;4734;536;816;983;1152;11573;1046;67;-;84692;118221;131;1690;193;-
09175444;      Gemeindefreie Gebiete;756195;-;-;293;88;410;326;1257;21821;-;-;-;6239;723674;143;1944;-;-
09176;    Eichstätt (Lkr);12140327;250792;56253;185676;41081;59918;13873;31432;538929;22796;185;36641;5624171;4936961;85923;251540;4156;-
09176111;      Adelschlag;519559;6406;570;6062;1126;952;117;433;17694;2069;-;-;234265;242613;393;6802;57;-
09176112;      Altmannstein, M;1141469;17186;1098;18824;1448;957;575;1124;42530;-;42;2392;557951;472331;1250;23339;422;-
09176114;      Beilngries, St;1000325;18322;4378;18577;1595;3385;793;6635;49087;825;-;-;536836;328391;8324;22966;211;-
09176116;      Böhmfeld;162611;3174;92;1673;274;395;51;321;5837;-;-;77;66933;80651;24;3077;32;-
09176118;      Buxheim;225318;7841;321;3272;255;-;156;968;9910;1494;-;-;146994;44783;2964;6224;136;-
09176120;      Denkendorf;478351;9966;2129;6663;2667;679;310;715;25925;2513;-;-;184785;231509;677;9549;264;-
09176121;      Dollnstein, M;405153;6470;1655;3009;815;107;649;521;13766;3359;-;6145;118865;238756;4134;6821;81;-
09176122;      Egweil;93895;2930;428;1237;85;-;7;274;4231;680;-;-;66655;14799;213;2335;21;-
09176123;      Eichstätt, GKSt;477962;18972;4473;13890;1040;8120;1347;2004;24988;4751;-;1484;172704;205657;4457;13836;239;-
09176124;      Eitensheim;157157;5703;699;2523;822;-;287;246;9537;820;-;-;101111;31216;52;4063;78;-
09176126;      Gaimersheim, M;282093;21041;5906;7719;642;399;1716;1735;17687;939;-;168;177867;38464;634;6869;307;-
09176129;      Großmehring;474391;11773;5890;7442;5758;4203;622;1308;24078;384;-;-;298021;70114;27808;16851;139;-
09176131;      Hepberg;41592;5222;380;840;242;-;611;203;4534;-;-;2657;22634;2349;19;1853;48;-
09176132;      Hitzhofen;337903;6173;153;3041;525;406;118;860;11369;-;-;-;107440;202755;56;4916;91;-
09176137;      Kinding, M;517113;5414;2341;6799;691;5227;675;3076;29221;834;-;1265;178121;259245;7425;16623;156;-
09176138;      Kipfenberg, M;814358;11507;2025;10364;1452;120;872;1916;33666;59;-;-;271339;468602;3714;8519;203;-
09176139;      Kösching, M;556911;16417;5130;9441;4202;-;1212;1469;20560;34;-;1162;233069;255002;612;8401;200;-
09176143;      Lenting;84810;8605;1975;2345;2203;-;822;629;8546;64;-;5952;46296;4500;195;2527;151;-
09176147;      Mindelstetten;226821;4015;47;4026;800;783;238;437;9597;-;-;35;156106;45942;213;4504;78;-
09176148;      Mörnsheim, M;334551;3342;1958;3325;5928;6295;166;403;12603;325;-;8090;131375;152712;1448;6523;58;-
09176149;      Nassenfels, M;184114;4306;594;3210;222;-;240;398;8327;374;-;49;105432;53898;1070;5903;91;-
09176150;      Oberdolling;193650;3005;1302;2529;285;446;58;358;8086;-;-;312;118542;53291;227;5138;71;-
09176153;      Pförring, M;435163;8014;1547;9405;362;494;339;702;20234;-;110;141;297811;67162;13349;15323;170;-
09176155;      Pollenfeld;456457;4821;1277;7017;1205;446;132;527;18639;-;-;-;224259;194450;-;3527;157;-
09176160;      Schernfeld;522648;5838;3176;7264;3091;10653;208;948;19302;4;-;343;225409;239994;24;6320;74;-
09176161;      Stammham;390277;8863;1624;2605;949;-;197;423;17651;2726;33;51;86434;260863;323;7344;191;-
09176164;      Titting, M;711198;4384;2727;11079;1335;14428;201;1015;33334;-;-;92;433477;197398;1578;10040;110;-
09176165;      Walting;397266;5243;1402;4137;655;452;429;614;15939;-;-;792;131462;220842;3753;11436;110;-
09176166;      Wellheim, M;338153;6782;627;4718;313;490;194;416;12579;-;-;66;117797;186709;919;6463;80;-
09176167;      Wettstetten;124755;9057;329;2609;94;172;531;754;7424;542;-;5368;74181;20058;68;3438;130;-
09176444;      Gemeindefreie Gebiete;54303;-;-;31;-;309;-;-;2048;-;-;-;-;51905;-;10;-;-
09177;    Erding (Lkr);8707210;199989;34507;281713;18941;20580;14720;40828;309318;131975;333;-;6115209;1260120;108269;166667;4041;-
09177112;      Berglern;198831;4241;446;5631;350;814;230;263;7763;-;-;-;155930;6488;5981;10641;53;-
09177113;      Bockhorn;471466;6570;598;12969;777;-;242;5833;14442;6190;53;-;353520;63547;2942;3678;105;-
09177114;      Buch a.Buchrain;227430;2804;173;5505;156;-;21;205;5393;-;-;-;105055;106880;544;659;35;-
09177115;      Dorfen, St;995552;20545;4221;36266;1050;1290;1198;949;31360;3096;-;-;764252;109251;7084;14557;433;-
09177116;      Eitting;356312;4760;150;9122;3513;1951;240;982;17667;-;-;-;234603;46264;11918;25071;71;-
09177117;      Erding, GKSt;546112;36575;7397;26154;960;4198;5597;3639;27686;36784;16;-;347114;21616;14488;13013;875;-
09177118;      Finsing;231780;7915;2825;11222;2022;432;606;1618;7773;-;-;-;159310;19345;13892;4549;271;-
09177119;      Forstern;153795;4776;1130;5928;41;1966;81;554;4980;235;-;-;110053;22568;582;836;65;-
09177120;      Fraunberg;423617;6578;855;11715;483;631;244;671;15486;-;-;-;328409;51328;2741;4328;148;-
09177121;      Hohenpolding;274169;2391;482;8756;467;1735;6;206;7549;-;-;-;214620;34759;1081;2079;38;-
09177122;      Inning a.Holz;118399;2835;420;3710;67;208;8;344;4038;-;-;-;73192;30763;439;2300;75;-
09177123;      Isen, M;437806;10056;1339;13686;1065;85;445;525;12218;-;-;-;235476;157964;1605;3116;226;-
09177124;      Kirchberg;171010;1891;351;5212;110;503;118;-;4460;-;-;-;121150;34744;545;1892;34;-
09177126;      Langenpreising;274951;4742;374;6313;403;123;320;640;14077;-;-;-;210804;22309;6994;7802;50;-
09177127;      Lengdorf;339400;4391;310;11968;263;1184;119;245;9500;1096;5;-;252847;50609;2393;4393;77;-
09177130;      Moosinning;399627;10204;754;11628;429;1070;619;16439;15673;141;259;-;281761;46036;6309;8208;97;-
09177131;      Neuching;196770;4342;515;5668;524;592;246;382;8598;-;-;-;161444;6094;4727;3568;70;-
09177133;      Oberding;647165;9609;4189;15068;2463;464;1438;1488;24752;78771;-;-;433940;35337;5025;34266;355;-
09177134;      Ottenhofen;102735;3915;145;3622;984;-;214;309;4149;1445;-;-;75673;9105;1930;1174;70;-
09177135;      Pastetten;220773;4459;276;6507;30;2029;40;114;7711;292;-;-;166763;28042;1675;2753;82;-
09177137;      Sankt Wolfgang;463087;6925;1729;14967;295;251;169;604;13452;-;-;-;291472;128897;1883;2299;144;-
09177138;      Steinkirchen;180802;2671;358;5083;140;171;-;237;5311;-;-;-;134447;29734;485;2132;33;-
09177139;      Taufkirchen (Vils);701809;16371;2799;26425;646;883;658;2865;23131;-;-;-;496998;118533;4783;7320;397;-
09177142;      Walpertskirchen;184479;3234;194;6276;196;-;144;313;5634;1762;-;-;140486;24089;1310;808;33;-
09177143;      Wartenberg, M;178820;9010;1734;6073;82;-;1144;773;7741;-;-;-;114080;30254;4418;3423;88;-
09177144;      Wörth;210513;8179;743;6239;1425;-;573;630;8774;2163;-;-;151810;25564;2495;1802;116;-
09178;    Freising (Lkr);7998243;239512;51193;260396;29402;37957;20028;34621;349831;89111;3517;599;5083661;1555624;139570;98898;4323;-
09178113;      Allershausen;265480;9337;2211;8299;472;1168;765;864;14675;-;-;4;168450;50871;5921;2295;148;-
09178115;      Attenkirchen;161007;5737;505;4912;1462;168;457;402;6474;-;12;-;116681;22674;344;1129;50;-
09178116;      Au i.d.Hallertau, M;549905;10679;1986;16971;873;3285;276;753;18231;-;-;24;352013;139469;1171;4023;151;-
09178120;      Eching;373174;13512;11244;10814;6930;3620;4111;1495;27701;1687;-;-;250962;29443;7886;3348;421;-
09178122;      Rudelzhausen;407973;6863;470;13471;1230;1253;331;9160;13008;-;-;-;252262;105363;1253;3158;151;-
09178123;      Fahrenzhausen;376347;9342;703;9495;1704;-;231;1047;17226;-;1022;17;277519;46986;6204;4698;153;-
09178124;      Freising, GKSt;885839;47546;7355;45788;2613;1545;6808;6143;54123;42392;1562;116;456148;172217;18778;21438;1267;-
09178125;      Gammelsdorf;216222;2848;810;6321;139;6808;248;248;6902;566;100;116;147199;41960;146;1750;61;-
09178129;      Haag a.d.Amper;216996;5710;691;5066;947;1360;377;665;8831;278;85;-;137792;47805;4725;2542;122;-
09178130;      Hallbergmoos;350914;12416;3416;13244;1455;1885;513;1734;13585;37820;-;-;191498;57248;8162;7784;154;-
09178132;      Hörgertshausen;214780;3906;326;7146;234;2053;30;314;7028;-;-;-;145605;47204;363;509;62;-
09178133;      Hohenkammer;257381;4078;1177;7081;1305;1123;133;314;9361;-;-;-;157601;72210;1713;1230;55;-
09178136;      Kirchdorf a.d.Amper;329685;5669;803;6550;318;1205;222;431;10554;-;-;-;210398;84201;4257;5029;48;-
09178137;      Kranzberg;395031;9147;1084;10328;308;920;780;857;16042;-;-;-;232347;114353;4559;4164;142;-
09178138;      Langenbach;268860;6620;1377;7264;327;1109;330;577;10113;1016;-;-;149042;77985;7744;5263;93;-
09178140;      Marzling;205039;4727;221;5651;599;410;732;292;9585;704;-;195;141617;27952;8862;3438;54;-
09178142;      Mauern;241458;5386;57;7604;255;1074;44;329;7962;30;-;-;168797;48139;944;758;79;-
09178143;      Moosburg a.d.Isar, St;438525;26174;7500;14517;1231;4015;1654;2511;21755;2181;-;-;237378;87295;22720;9289;305;-
09178144;      Nandlstadt, M;343015;8437;773;11218;273;104;148;717;11029;-;-;-;249316;58442;511;1974;73;-
09178145;      Neufahrn b.Freising;455361;19761;5359;18380;2315;-;1167;3548;28625;1930;736;9;326410;36089;6535;3997;500;-
09178150;      Paunzhausen;127424;3568;49;3605;238;209;35;266;5210;-;-;-;84745;28948;97;427;27;-
09178155;      Wang;311836;5366;1334;9743;496;887;249;371;9864;296;-;-;200295;60760;17829;4240;106;-
09178156;      Wolfersdorf;260670;4506;394;7331;553;422;67;393;7687;-;-;-;186337;51712;312;915;41;-
09178157;      Zolling;345321;8177;1348;9597;3125;3334;320;1190;14260;211;-;118;243249;46298;8534;5500;60;-
09179;    Fürstenfeldbruck (Lkr);4347919;288958;35306;117323;17566;15292;18684;45793;206301;56607;9547;246;2430806;971837;36895;90350;6408;-
09179111;      Adelshofen;132796;3347;155;2785;192;391;151;323;4967;-;-;-;94637;23726;659;1415;48;-
09179113;      Alling;210200;6081;863;5088;168;-;133;2216;8058;-;-;-;149811;33687;1129;2815;151;-
09179114;      Althegnenberg;160945;4389;87;1386;1107;1;-;338;4245;1311;8161;-;69690;67607;458;2093;72;-
09179117;      Egenhofen;334000;7267;2153;7825;709;709;60;552;11393;116;-;-;238047;59649;2369;3081;70;-
09179118;      Eichenau;69891;17919;442;2538;42;-;1511;936;5535;292;-;-;20411;17848;545;1577;295;-
09179119;      Emmering;109500;10769;3157;2859;727;-;597;2223;5437;968;-;-;49779;26191;2516;4048;229;-
09179121;      Fürstenfeldbruck, GKSt;325235;37800;5894;17176;2084;5181;2714;4478;24362;14698;1121;31;116075;78729;4074;9163;1655;-
09179123;      Germering, GKSt;216035;36754;1810;10614;168;-;4957;750;18327;1252;-;215;88963;45092;440;5446;1247;-
09179125;      Grafrath;144281;10140;434;2804;214;79;105;923;5502;669;-;-;42739;70384;1246;8944;98;-
09179126;      Gröbenzell;63562;32314;1768;3566;28;-;1073;1588;6905;1581;-;-;10933;1078;415;2070;243;-
09179128;      Hattenhofen;71794;2964;77;1865;371;-;196;255;2819;1268;-;-;47509;12572;121;1732;45;-
09179130;      Jesenwang;152983;2879;600;2376;698;2371;61;296;5979;628;-;-;84090;50749;341;1873;42;-
09179131;      Kottgeisering;82110;4692;17;1313;79;-;1;279;2858;936;-;-;47398;18347;685;5455;50;-
09179132;      Landsberied;105348;2571;295;1600;69;3276;18;518;3836;-;-;-;50759;41061;39;1262;44;-
09179134;      Maisach;534461;20350;4967;14007;2370;207;704;13043;21277;22912;-;-;368159;55109;3719;7281;356;-
