GENESIS-Tabelle: Temporär
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;
Nutzung (6)/(10)/(17), Jahr;;;;;;;;;;;;;;;;;;;
(von 2011 bis 2015);;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
09171112;      Burghausen, St;198092;25461;22864;10979;15994;-;1687;2561;15124;1590;-;-;45485;42923;8767;4374;283;-
09171113;      Burgkirchen a.d.Alz;461954;18359;12964;13204;3718;248;929;1327;18404;1541;-;-;247047;134310;6196;3572;135;-
09171114;      Emmerting;140861;8695;128;2802;134;1278;191;395;5300;-;-;-;27555;91524;1755;1104;-;-
09171115;      Erlbach;281444;1587;31;8774;256;393;63;337;7785;-;-;-;188715;71940;425;1138;-;-
09171116;      Feichten a.d.Alz;179136;2511;207;4439;523;148;6;300;4869;854;-;-;121505;41099;2160;489;26;-
09171117;      Garching a.d.Alz;258713;18224;1614;10115;379;845;203;1147;10804;2368;-;-;140353;65968;4078;2504;111;-
09171118;      Haiming;287414;6377;1596;6545;944;1289;5;6698;9568;-;-;-;111635;113242;21559;7912;44;-
09171119;      Halsbach;220726;1873;312;5803;6;40;6;269;5376;-;-;-;167965;37956;259;861;-;-
09171121;      Kastl;275961;4423;2278;8538;423;3392;24;358;8796;1011;-;-;171759;72128;932;1852;47;-
09171122;      Kirchweidach;201628;4768;786;8968;979;-;47;344;6057;977;-;-;154647;22644;311;1061;39;-
09171123;      Marktl, M;278402;5993;750;6618;101;447;331;2150;10367;902;89;-;106395;129527;12396;2289;47;-
09171124;      Mehring;233707;4497;733;5070;675;209;61;447;8755;64;-;-;99998;109023;2271;1809;95;-
09171125;      Neuötting, St;365996;14650;2146;10062;1387;1107;596;672;20907;-;-;-;114548;180320;12390;7055;156;-
09171126;      Perach;141310;2693;316;4383;579;359;18;264;4481;1323;61;-;68330;49489;6753;2238;23;-
09171127;      Pleiskirchen;526273;4285;529;15142;463;-;168;4369;14370;-;-;-;349534;133528;1047;2816;22;-
09171129;      Reischach;284549;5681;456;7705;344;320;69;465;8536;40;-;-;169283;88337;884;2401;28;-
09171130;      Stammham;56799;3000;209;1419;449;9;1;735;2566;706;-;-;25542;17599;3646;829;89;-
09171131;      Teising;53754;3621;1434;1466;229;799;74;290;2206;-;-;-;27450;13912;1307;966;-;-
09171132;      Töging a.Inn, St;136531;17064;5444;4925;2607;473;228;923;10044;1365;-;-;53498;29801;6563;3334;262;-
09171133;      Tüßling, M;195627;7406;428;6075;136;49;262;461;7217;2137;-;-;136403;31367;1200;2387;99;-
09171134;      Tyrlaching;205436;1846;122;5288;8;378;16;93;4788;941;-;-;150932;39954;183;861;26;-
09171135;      Unterneukirchen;232621;5321;2688;8783;904;646;148;392;9097;489;-;-;171788;28127;2431;1807;-;-
09171137;      Winhöring;245775;11515;2179;6573;564;790;271;518;13385;2209;-;-;104332;91430;5779;6140;90;-
09172;    Berchtesgadener Land (Lkr);8399173;159049;25462;140296;9441;7606;7766;22688;202263;17027;8038;162;1878297;4440205;154978;1323470;2425;-
09172111;      Ainring;329646;15639;2854;10733;430;487;529;6001;11207;2295;5720;-;174635;88581;7033;3367;135;-
09172112;      Anger;459083;7149;552;9228;201;-;97;461;13669;-;618;63;160707;260125;3981;2139;93;-
09172114;      Bad Reichenhall, GKSt;419204;20641;2496;15872;700;-;2384;2175;18127;788;-;-;46041;271983;8158;29451;388;-
09172115;      Bayerisch Gmain;123383;6675;108;2353;216;-;757;442;4099;940;221;-;15229;70970;1034;20234;105;-
09172116;      Berchtesgaden, M;356265;11237;1253;10763;476;116;659;3457;16490;289;265;89;77532;220030;3759;9734;116;-
09172117;      Bischofswiesen;621364;11360;2241;12279;634;1298;253;1237;13704;1481;275;-;85263;434683;3662;52994;-;-
09172118;      Freilassing, St;148176;19087;5918;9449;1090;514;1276;1587;11440;3148;-;-;50826;37537;3788;2214;302;-
09172122;      Laufen, St;352878;11337;1159;11544;1201;1233;604;1982;13779;2017;-;-;185150;108140;10629;3802;301;-
09172124;      Marktschellenberg, M;176647;2707;283;3917;66;132;48;135;4870;-;-;-;57243;102857;2271;2081;37;-
09172128;      Piding;176698;8160;1385;4415;281;-;139;768;7912;832;-;-;42290;101577;3241;5590;108;-
09172129;      Ramsau b.Berchtesgaden;1291697;2980;470;4404;131;-;134;476;10887;-;244;-;88562;667825;5384;510134;66;-
09172130;      Saaldorf-Surheim;391020;10688;2041;10404;443;2001;270;812;13795;1409;-;-;240293;89961;15997;2827;79;-
09172131;      Schneizlreuth;1072757;3172;1046;4533;638;1364;19;553;15675;-;-;-;51633;873462;14736;105901;25;-
09172132;      Schönau a.Königssee;1316468;12376;619;8279;222;69;366;1215;10521;-;-;10;112941;604870;61922;502584;474;-
09172134;      Teisendorf, M;867747;15841;3037;21893;2708;392;231;1387;31096;3828;695;-;480621;294387;7209;4226;196;-
09172444;      Gemeindefreie Gebiete;296140;-;-;230;4;-;-;-;4992;-;-;-;9331;213217;2174;66192;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);11106871;215829;37572;147157;10076;15078;12869;40283;256297;9188;222625;21304;3171489;6156708;430089;356832;3475;-
09173111;      Bad Heilbrunn;403226;8173;613;6241;64;-;550;516;8976;-;17233;-;162167;185671;7731;5207;84;-
09173112;      Bad Tölz, St;308045;22805;3825;12802;1124;13;1397;2953;15186;829;12106;-;107683;112691;9912;4100;619;-
09173113;      Benediktbeuern;378564;6537;617;4468;62;-;88;367;6166;296;27037;-;113806;202010;5086;11931;93;-
09173115;      Bichl;139190;4005;528;1771;271;-;292;227;5450;539;229;-;50585;69518;3972;1759;44;-
09173118;      Dietramszell;968208;11546;1658;17745;633;2403;444;1569;24543;-;15813;-;431909;447221;6942;5623;159;-
09173120;      Egling;740546;13586;2461;13874;434;3767;388;6116;19652;-;14733;-;321104;322857;15650;5748;176;-
09173123;      Eurasburg;408683;10008;1653;8062;986;184;279;5194;12512;1;6539;-;200028;153190;6182;3787;78;-
09173124;      Gaißach;385487;5090;757;4986;358;-;29;1875;8086;930;7283;1;116884;223865;5274;9984;85;-
09173126;      Geretsried, St;245917;24826;13500;11654;537;18;983;1981;13621;190;2579;41;72262;93668;4601;4510;946;-
09173127;      Greiling;76507;3155;152;1227;443;-;-;218;2530;883;4438;-;42023;19744;726;968;-;-
09173130;      Icking;169907;16268;136;4352;128;-;257;2632;9970;934;292;93;68460;64173;222;1862;128;-
09173131;      Jachenau;1286349;1754;432;3023;258;159;11;453;15835;-;2955;-;138532;1073686;11972;37245;34;-
09173133;      Kochel a.See;801194;11295;966;5973;861;207;761;1066;12529;838;22711;-;105340;376541;213446;48533;127;-
09173134;      Königsdorf;456753;6424;1142;6216;137;2192;2112;1834;9453;1877;43080;-;182166;189051;6610;4407;52;-
09173135;      Lenggries;2429087;18459;2245;12095;825;2302;313;1577;32925;617;7661;21169;366012;1698894;81136;182697;160;-
09173137;      Münsing;522295;14880;841;9521;554;577;3899;1774;23067;-;4671;-;200694;254793;4429;2476;119;-
09173140;      Reichersbeuern;154010;4210;691;2640;1310;1569;142;76;4957;332;2125;-;58736;73515;968;2659;80;-
09173141;      Sachsenkam;159311;2354;380;2483;84;71;69;233;4576;-;19888;-;62204;60210;5945;783;31;-
09173142;      Schlehdorf;253897;2904;74;3050;56;200;90;670;3877;-;550;-;85013;125882;21178;10316;37;-
09173145;      Wackersberg;648303;6073;616;8075;99;1416;229;3609;12922;-;10702;-;268814;323445;5267;6986;50;-
09173147;      Wolfratshausen, St;91329;21461;4285;6879;827;-;536;5338;8640;922;-;-;17063;21334;2441;1230;373;-
09173444;      Gemeindefreie Gebiete;80063;16;-;20;25;-;-;5;824;-;-;-;4;64749;10399;4021;-;-
09174;    Dachau (Lkr);5791777;204424;30651;183176;21682;7994;22211;48515;244662;16723;344;-;3788497;1033140;54670;129629;5459;-
09174111;      Altomünster, M;756553;16798;1394;18496;1820;1470;364;1428;24980;419;-;-;511934;156306;2599;18326;219;-
09174113;      Bergkirchen;599673;15026;4459;19702;1773;625;2991;14015;28746;1671;-;-;396382;89799;10431;13850;203;-
09174115;      Dachau, GKSt;349611;41979;10486;30201;1212;1768;7363;5501;29067;2520;-;-;164976;35738;5678;10903;2219;-
09174118;      Erdweg;360604;11341;709;9343;377;991;475;728;13344;729;-;-;221461;91675;2054;7190;187;-
09174121;      Haimhausen;269260;9032;544;6457;1351;-;956;1003;9169;-;-;-;177471;52157;5654;5353;113;-
09174122;      Hebertshausen;295712;9546;1348;8824;504;439;602;1279;11240;1694;-;-;215748;27834;7796;8668;190;-
09174126;      Karlsfeld;156025;18931;3288;7391;1319;203;6914;1247;12260;1580;-;-;81809;9303;7024;4454;302;-
09174131;      Markt Indersdorf, M;684161;14450;2026;21229;1441;554;735;8832;23304;1014;-;-;496651;99737;3056;10662;470;-
09174135;      Odelzhausen;304437;9516;2016;8472;2649;30;146;6765;15280;-;-;-;168267;83952;1512;5731;101;-
09174136;      Petershausen;327879;9173;601;7857;387;-;174;1210;12271;3452;158;-;218297;63469;2016;8615;199;-
09174137;      Pfaffenhofen a.d.Glonn;208855;4483;241;4168;1648;647;-;398;8098;-;-;-;150612;35249;884;2366;61;-
09174141;      Röhrmoos;317473;9199;324;8824;1096;-;295;1813;11004;1807;186;-;212547;64147;1063;4640;528;-
09174143;      Schwabhausen;302326;10039;537;7720;1009;24;286;996;10472;552;-;-;202509;62629;1043;4323;187;-
09174146;      Sulzemoos;190406;5359;641;5080;2604;-;207;558;10779;-;-;-;117126;42791;600;4599;62;-
09174147;      Hilgertshausen-Tandern;286835;6952;780;7494;777;1243;42;882;10328;-;-;-;185241;65382;650;6938;126;-
09174150;      Vierkirchen;193842;6855;712;6930;1223;-;358;1509;7272;1285;-;-;141911;18499;1042;6091;155;-
09174151;      Weichs;188125;5745;545;4988;492;-;303;351;7048;-;-;-;125555;34473;1568;6920;137;-
09175;    Ebersberg (Lkr);5493654;190910;31297;147609;10641;10255;13494;54082;215901;15512;3877;17;2639150;2048526;52581;56444;3358;-
09175111;      Anzing;161754;6366;1371;7161;645;-;201;1123;10097;-;137;-;122658;7266;972;3690;67;-
09175112;      Aßling;313730;8340;1175;8696;578;-;252;467;9280;2983;397;-;201133;75472;1524;3321;112;-
09175113;      Baiern;199670;2420;438;5504;323;-;259;451;5765;-;35;-;130874;51548;900;1093;60;-
09175114;      Bruck;215945;2041;304;4591;323;462;90;296;6254;624;202;-;130814;65962;1171;2761;50;-
09175115;      Ebersberg, St;408404;16035;1444;14523;1806;2877;1247;1158;15533;1060;111;-;204803;134980;7195;5001;631;-
09175116;      Egmating;191629;3744;457;3285;88;-;134;7326;6176;-;-;-;66200;103124;220;838;37;-
09175118;      Forstinning;122704;6045;1223;4898;681;783;234;645;8855;-;-;17;87845;7649;1252;2352;225;-
09175119;      Frauenneuharting;226866;2342;334;6015;63;-;255;176;5707;-;397;-;164855;43739;1071;1886;26;-
09175121;      Glonn, M;302422;7434;880;7983;325;260;621;648;10130;153;913;-;153397;114594;1983;2958;143;-
09175122;      Grafing b.München, St;295840;19160;1656;9797;672;16;1248;7325;13042;3181;351;-;162479;70255;1801;4559;298;-
09175123;      Hohenlinden;173198;5316;1693;6437;134;886;212;594;7099;-;-;-;89254;59018;250;2236;69;-
09175124;      Kirchseeon, M;179130;13066;3158;6703;430;1804;423;490;7987;2467;808;-;58253;80817;364;2092;268;-
09175127;      Markt Schwaben, M;108615;11980;2963;4962;685;-;1132;1499;6476;1476;-;-;64385;9096;1016;2710;235;-
09175128;      Moosach;182079;3061;202;3900;144;43;119;351;5757;-;117;-;68852;93920;2993;2578;42;-
09175131;      Oberpframmern;184721;4482;1021;2665;572;127;275;306;6019;-;-;-;57456;110932;90;709;67;-
09175132;      Vaterstetten;340843;38109;2461;16235;705;489;1583;2490;26423;1044;-;-;196675;51246;403;2571;409;-
09175133;      Pliening;227860;7555;1732;6846;755;1377;270;361;8747;-;-;-;159380;11364;24461;4924;88;-
09175135;      Poing;129219;12871;6044;7704;503;159;3121;5939;8465;997;-;-;71863;9127;428;1836;162;-
09175136;      Emmering;172242;2982;222;4979;221;16;21;285;4360;-;271;-;135361;20335;2010;1141;38;-
09175137;      Steinhöring;362948;5899;1975;9490;333;-;495;17807;10203;481;71;-;222477;87779;2191;3608;139;-
09175139;      Zorneding;237783;11662;544;4941;549;546;987;1304;11614;1046;67;-;83879;118655;143;1654;192;-
09175444;      Gemeindefreie Gebiete;756052;-;-;294;106;410;315;3041;21912;-;-;-;6257;721648;143;1926;-;-
09176;    Eichstätt (Lkr);12140533;257754;59966;186227;46384;59746;14485;32987;542114;22599;126;33706;5596637;4947948;86937;248636;4281;-
09176111;      Adelschlag;519832;6918;711;5889;2968;495;131;433;17913;2054;-;-;231875;242814;399;7175;57;-
09176112;      Altmannstein, M;1141761;17613;1243;18976;1373;955;734;1021;41698;-;42;2657;555282;475991;1238;22524;414;-
09176114;      Beilngries, St;1000658;18854;4528;18445;1735;3334;896;6713;48834;861;-;-;536132;329284;8340;22489;213;-
09176116;      Böhmfeld;162667;3282;92;1721;274;395;64;322;5847;-;-;77;67097;80645;24;2795;32;-
09176118;      Buxheim;225257;8105;416;3307;1482;-;163;968;10002;1483;-;-;145511;44888;3012;5784;136;-
09176120;      Denkendorf;478371;10319;2891;6563;3071;700;321;795;26080;2513;-;-;183023;231811;677;9343;264;-
09176121;      Dollnstein, M;405128;6543;1645;3018;925;107;612;712;13850;3346;-;5927;118863;238641;4163;6695;81;-
09176122;      Egweil;93870;3271;299;1123;690;-;7;274;4232;367;-;-;66306;14900;213;2167;21;-
09176123;      Eichstätt, GKSt;477829;19249;4655;14221;1424;7988;1297;2296;25456;4753;-;1136;171819;205731;4464;13105;235;-
09176124;      Eitensheim;157102;5850;800;2504;822;-;332;246;9538;820;-;-;100776;31154;52;4130;78;-
09176126;      Gaimersheim, M;282095;21148;6252;7821;645;351;1778;1737;17696;939;-;166;176990;38939;670;6656;307;-
09176129;      Großmehring;474244;12200;6417;7378;5371;4090;706;1173;23892;381;-;-;295562;70755;28461;17700;158;-
09176131;      Hepberg;41587;5503;367;783;18;-;481;203;5008;-;-;1937;21937;2673;28;2601;48;-
09176132;      Hitzhofen;337862;6145;195;3072;583;725;121;860;11582;-;-;-;107158;202530;56;4744;91;-
09176137;      Kinding, M;517060;5552;2487;6593;821;5209;777;2985;29636;974;-;1274;176463;259300;7571;17256;162;-
09176138;      Kipfenberg, M;814331;11670;2147;10381;1595;120;834;1907;34147;59;-;-;270168;469065;3735;8291;212;-
09176139;      Kösching, M;556678;16862;6249;9269;4236;-;1371;1413;21561;34;-;1162;227868;255519;626;10273;235;-
09176143;      Lenting;84786;8712;1981;2546;2213;-;790;630;8903;64;-;6368;45231;4522;195;2480;151;-
09176147;      Mindelstetten;226890;4200;221;4004;621;500;239;520;9413;-;-;35;156279;46360;220;4196;82;-
09176148;      Mörnsheim, M;334575;3565;1988;3228;6214;6539;250;320;12865;309;-;5543;133283;152837;1446;6136;52;-
09176149;      Nassenfels, M;184275;4450;503;3388;244;-;231;398;8324;374;-;49;105268;54410;1080;5463;93;-
09176150;      Oberdolling;193648;3173;1302;2491;257;466;58;352;7985;-;-;312;118256;53456;227;5242;71;-
09176153;      Pförring, M;435132;8348;1635;9658;389;241;363;703;19887;-;51;58;295976;69816;13277;14546;184;-
09176155;      Pollenfeld;456462;5015;1670;7097;1185;456;156;527;18698;-;-;-;223167;194522;50;3734;185;-
09176160;      Schernfeld;522402;6267;3471;7385;3361;10553;202;1131;19489;4;-;309;225351;239497;24;5287;71;-
09176161;      Stammham;390433;9076;574;2692;938;-;192;1489;18051;2722;33;420;85898;261114;325;6718;191;-
09176164;      Titting, M;711036;4516;2679;11059;1749;14983;246;1045;33411;-;-;103;432203;197125;1592;10215;110;-
09176165;      Walting;397486;5333;1453;4250;768;452;424;612;16263;-;-;789;131505;220853;3793;10881;110;-
09176166;      Wellheim, M;338139;6831;695;4629;314;458;204;416;12797;-;-;66;117815;186268;919;6620;107;-
09176167;      Wettstetten;124736;9184;400;2705;98;162;505;786;7410;542;-;5318;73575;20481;60;3380;130;-
09176444;      Gemeindefreie Gebiete;54201;-;-;31;-;467;-;-;1646;-;-;-;-;52047;-;10;-;-
09177;    Erding (Lkr);8707196;207581;37238;285533;20140;23029;16035;41370;314104;131967;329;-;6093256;1263453;109014;160164;3983;-
09177112;      Berglern;198844;4405;619;5721;685;945;227;260;7864;-;-;-;155054;6541;6001;10469;53;-
09177113;      Bockhorn;471452;7007;942;13239;718;-;422;5812;14593;6191;53;-;352195;63527;2833;3789;131;-
09177114;      Buch a.Buchrain;227472;2938;185;5487;213;-;21;205;5381;-;-;-;105025;106851;571;560;35;-
09177115;      Dorfen, St;995567;21200;4260;36696;1102;1454;1206;1046;31684;3058;-;-;761048;109715;7111;15566;421;-
09177116;      Eitting;356301;5241;268;9397;3599;2067;245;982;17655;-;-;-;234270;47000;11806;23695;76;-
09177117;      Erding, GKSt;546081;37271;7492;26268;972;3714;6264;3835;27834;36773;16;-;346303;21684;15010;11771;874;-
09177118;      Finsing;231730;8076;2817;11086;2101;418;642;1617;7792;-;-;-;158917;19582;13996;4421;265;-
09177119;      Forstern;153733;5152;1081;5800;136;2239;125;552;5040;283;-;-;109127;22601;573;959;65;-
09177120;      Fraunberg;423607;6666;1008;11989;633;651;300;676;15479;-;-;-;327839;51464;2771;3982;149;-
09177121;      Hohenpolding;274172;2616;551;8906;567;2072;78;206;7607;-;-;-;213618;34801;1072;2040;38;-
09177122;      Inning a.Holz;118333;2927;1048;3805;67;208;8;341;4101;-;-;-;72474;30654;466;2159;75;-
09177123;      Isen, M;437802;10322;1345;13682;1143;107;411;557;12539;-;-;-;235248;157970;1558;2689;231;-
09177124;      Kirchberg;170952;1957;351;5272;110;516;118;-;4474;-;-;-;120967;34791;570;1792;34;-
09177126;      Langenpreising;275012;4970;536;6399;433;123;364;685;14469;-;-;-;209263;22287;6989;8444;50;-
09177127;      Lengdorf;339380;4504;311;11905;288;1184;119;245;9555;1093;5;-;252682;50861;2257;4294;77;-
09177130;      Moosinning;399672;10448;839;12216;376;1000;718;16631;15576;141;255;-;280965;45988;6521;7901;97;-
09177131;      Neuching;196768;4521;527;5856;532;2185;211;357;8543;-;-;-;160359;5977;4605;3025;70;-
09177133;      Oberding;647237;9996;4483;15683;2485;440;1465;1518;24690;78760;-;-;433513;35931;5219;32813;241;-
09177134;      Ottenhofen;102739;3978;141;3666;981;-;214;309;4213;1445;-;-;75374;9148;1929;1271;70;-
09177135;      Pastetten;220794;4483;639;6738;43;2051;40;111;10355;292;-;-;163386;28191;1994;2390;81;-
09177137;      Sankt Wolfgang;463175;7309;1619;15680;277;251;178;528;13629;-;-;-;290572;129189;1920;1881;142;-
09177138;      Steinkirchen;180803;2857;358;5078;141;377;1;237;5377;-;-;-;134114;29726;475;2029;33;-
09177139;      Taufkirchen (Vils);701799;17261;2870;26425;828;1027;719;2895;23436;-;-;-;495770;118876;4536;6759;397;-
09177142;      Walpertskirchen;184462;3472;190;6172;189;-;110;315;5746;1763;-;-;140304;24082;1310;735;74;-
09177143;      Wartenberg, M;178836;9693;1814;6135;80;-;1215;823;7823;-;-;-;113481;30419;4417;2848;88;-
09177144;      Wörth;210473;8311;944;6232;1441;-;614;627;8649;2168;-;-;151388;25597;2504;1882;116;-
09178;    Freising (Lkr);7998318;247122;49910;259646;25135;39118;21452;35847;354006;89003;1975;423;5066407;1572330;140288;91226;4430;-
09178113;      Allershausen;265478;9214;2127;8560;520;1264;755;1040;14820;-;-;-;167353;50860;6027;2787;151;-
09178115;      Attenkirchen;161071;5944;591;4955;1512;-;532;411;6404;-;10;-;116122;22899;324;1316;51;-
09178116;      Au i.d.Hallertau, M;549850;11235;1834;16577;789;3434;523;890;19778;-;-;-;349250;139398;1306;4684;152;-
09178120;      Eching;373127;13738;10637;10921;2401;5443;4021;1530;28297;1555;-;-;250931;32068;7880;3261;444;-
09178122;      Rudelzhausen;408049;7193;600;13313;1256;1286;345;9205;13007;-;-;-;252159;104957;1321;3256;151;-
09178123;      Fahrenzhausen;376411;9995;674;9444;1726;165;194;1111;17272;-;258;15;276392;49038;6190;3789;148;-
09178124;      Freising, GKSt;885957;48390;6821;46239;2942;1455;7409;6435;54626;42416;1524;98;459743;173531;19159;13880;1289;-
09178125;      Gammelsdorf;216302;3052;953;6008;189;6229;212;248;7024;702;97;115;147738;42049;132;1489;65;-
09178129;      Haag a.d.Amper;217112;5802;675;5304;939;1287;551;632;8946;276;86;-;136364;47854;4759;3515;122;-
09178130;      Hallbergmoos;350723;12888;2982;13852;1455;1885;513;1856;13599;37797;-;-;191993;57454;8159;6181;109;-
09178132;      Hörgertshausen;214823;3965;490;7214;234;1586;112;314;7153;-;-;-;145104;47540;363;680;68;-
09178133;      Hohenkammer;257378;4537;993;7077;1537;977;333;425;9347;-;-;-;156219;72861;1573;1444;55;-
09178136;      Kirchdorf a.d.Amper;329588;5964;858;6811;252;1344;221;424;10651;-;-;-;209549;83972;4130;5364;48;-
09178137;      Kranzberg;395083;9129;1070;10241;356;733;686;985;16234;-;-;-;232575;116056;4579;2298;141;-
09178138;      Langenbach;268938;6825;1485;6835;393;1127;371;577;10464;1016;-;-;148200;77891;8003;5656;95;-
09178140;      Marzling;205043;4890;193;5549;595;411;793;422;9765;690;-;195;140766;28835;8758;3126;55;-
09178142;      Mauern;241417;5657;160;7260;269;1037;48;696;7898;30;-;-;168342;48229;896;816;79;-
09178143;      Moosburg a.d.Isar, St;438542;26876;7317;14854;1440;4015;1785;2405;22702;2190;-;-;232272;88253;22992;11131;310;-
09178144;      Nandlstadt, M;343032;8706;727;10986;324;104;120;718;11186;-;-;-;248816;58673;580;2014;78;-
09178145;      Neufahrn b.Freising;455312;20308;5576;17752;1741;143;1300;3335;27723;1898;-;-;325091;40174;6545;3187;539;-
09178150;      Paunzhausen;127336;3702;49;3510;266;266;13;259;5233;-;-;-;84528;28939;97;447;27;-
09178155;      Wang;311868;5646;1353;9387;510;942;269;391;10074;296;-;-;199919;60913;17784;4308;76;-
09178156;      Wolfersdorf;260525;4888;423;7197;362;465;84;366;7496;-;-;-;185958;51920;393;909;64;-
09178157;      Zolling;345353;8578;1322;9800;3127;3520;262;1172;14307;137;-;-;241023;47966;8338;5688;113;-
09179;    Fürstenfeldbruck (Lkr);4347939;290089;34969;130029;19508;14529;15559;55387;208190;42355;13192;246;2425414;973381;36983;81586;6522;-
09179111;      Adelshofen;132809;3493;146;2732;193;391;150;323;5009;-;-;-;94435;23733;664;1491;49;-
09179113;      Alling;210198;6207;791;5381;273;-;133;2292;8183;-;-;-;149324;33758;1123;2583;150;-
09179114;      Althegnenberg;160871;4557;86;1427;1107;1;16;338;4265;1418;8162;-;69386;67677;446;1914;71;-
09179117;      Egenhofen;334007;7547;2019;8106;693;796;65;550;11394;-;-;-;237855;59571;2415;2926;70;-
09179118;      Eichenau;69903;17659;485;2835;43;-;1507;900;5543;293;-;-;20386;17798;550;1609;295;-
09179119;      Emmering;109471;10808;3193;3002;675;-;599;2403;5436;950;-;-;49621;26196;2429;3944;215;-
09179121;      Fürstenfeldbruck, GKSt;325253;37854;6207;25148;2085;3844;2507;4557;24872;6713;1121;31;116853;80229;4075;7650;1507;-
09179123;      Germering, GKSt;216062;36650;1917;11190;173;-;2446;4873;18503;1270;-;215;86867;44966;435;5426;1131;-
09179125;      Grafrath;144310;10224;434;2838;214;75;105;920;5510;669;-;-;42634;70386;1246;8957;98;-
09179126;      Gröbenzell;63571;32151;1621;3801;28;-;866;1577;6878;1568;-;-;10896;1133;416;2185;451;-
09179128;      Hattenhofen;71731;3057;132;1872;884;-;50;950;2859;1497;-;-;46767;12057;171;1390;45;-
09179130;      Jesenwang;152979;2911;581;2414;1005;1957;39;296;5885;492;-;-;84077;51004;334;1942;42;-
09179131;      Kottgeisering;82108;4731;17;1262;79;-;1;279;2846;938;3644;-;47768;18370;684;1445;44;-
09179132;      Landsberied;105355;2641;308;1653;70;4554;18;518;3821;-;-;-;49450;41057;39;1182;44;-
