GENESIS-Tabelle: Temporär
Fläche: Gemeinden, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;;;;;;;;;
Nutzung (6)/(10)/(17), Jahr;;;;;;;;;;;;;;;;;;;
(von 2011 bis 2015);;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;
31.12.2014;;;;;;;;;;;;;;;;;;;
;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
09171112;      Burghausen, St;198090;25298;22666;10923;15334;-;1561;2540;15043;1583;-;-;46100;43572;8765;4422;283;-
09171113;      Burgkirchen a.d.Alz;461951;17867;12918;13273;3753;248;942;1254;18297;1558;-;-;247533;134300;6177;3696;135;-
09171114;      Emmerting;140861;8507;90;2767;221;1294;191;385;5167;-;-;-;27761;91632;1736;1110;-;-
09171115;      Erlbach;281444;1553;31;8590;256;412;61;323;7766;-;-;-;188923;71907;423;1199;-;-
09171116;      Feichten a.d.Alz;179137;2458;207;4475;529;113;6;293;4803;854;-;-;121528;41073;2178;594;26;-
09171117;      Garching a.d.Alz;258712;18246;1682;9969;379;845;203;1147;10812;2364;-;-;140267;66034;4077;2576;111;-
09171118;      Haiming;287414;6189;1585;6638;944;1138;5;6690;9531;-;-;-;111966;113290;21556;7834;48;-
09171119;      Halsbach;220731;1845;253;5897;5;40;9;269;5374;-;-;-;167746;38030;256;1007;-;-
09171121;      Kastl;275967;4356;2419;8519;442;3283;24;324;8727;1011;-;-;171687;72142;935;2051;47;-
09171122;      Kirchweidach;201634;4592;698;7949;979;-;47;344;6052;977;-;-;155813;22681;223;1240;39;-
09171123;      Marktl, M;278402;5898;634;6582;154;447;358;2150;10333;902;89;-;106601;129448;12391;2368;47;-
09171124;      Mehring;233715;4308;732;5176;675;208;61;363;8778;64;-;-;99940;109085;2278;1952;95;-
09171125;      Neuötting, St;365994;14521;2166;9936;1373;1108;595;672;20785;-;-;-;114984;180296;12366;7035;157;-
09171126;      Perach;141309;2611;341;4341;590;363;18;264;4437;1324;61;-;68570;49459;6751;2156;23;-
09171127;      Pleiskirchen;526274;4107;436;15042;463;-;170;4406;14211;-;-;-;350218;133509;1056;2634;22;-
09171129;      Reischach;284551;5487;460;7608;329;368;69;465;8556;40;-;-;169099;88545;900;2597;28;-
09171130;      Stammham;56801;2998;210;1390;449;13;-;730;2569;706;-;-;25625;17590;3649;783;89;-
09171131;      Teising;53755;3604;1449;1464;229;799;74;290;2191;-;-;-;27462;13889;1307;997;-;-
09171132;      Töging a.Inn, St;136535;16917;5071;4872;2748;452;139;923;10155;1390;-;-;53916;29863;6554;3270;265;-
09171133;      Tüßling, M;195627;7349;428;6153;136;49;262;461;7120;2133;-;-;136451;31412;1173;2401;99;-
09171134;      Tyrlaching;205435;1766;122;5319;8;378;16;83;4797;941;-;-;150948;39972;177;882;26;-
09171135;      Unterneukirchen;232624;4906;2770;8644;894;608;92;392;8987;494;-;-;172500;28018;2431;1888;-;-
09171137;      Winhöring;245779;11371;1810;6500;706;312;256;591;13335;2203;-;-;105579;91591;5758;5677;90;-
09172;    Berchtesgadener Land (Lkr);8399210;158213;24588;139084;9422;7775;7355;22763;202291;17058;8038;162;1881651;4440097;154887;1323405;2421;-
09172111;      Ainring;329646;15395;2821;10796;407;487;357;5951;11064;2296;5720;-;175290;88625;7013;3289;135;-
09172112;      Anger;459083;7008;635;9107;189;-;84;526;14343;-;618;63;160844;259832;3980;1761;93;-
09172114;      Bad Reichenhall, GKSt;419204;20470;2411;15920;698;-;2330;2175;18064;816;-;-;46059;272036;8156;29681;388;-
09172115;      Bayerisch Gmain;123381;6598;108;2358;212;-;757;442;4095;940;221;-;15329;70977;1034;20205;105;-
09172116;      Berchtesgaden, M;356266;11179;1277;10741;475;187;647;3450;16502;285;265;89;77433;220081;3753;9786;116;-
09172117;      Bischofswiesen;621363;11413;1579;12226;621;1298;253;1236;13610;1478;275;-;85918;434777;3712;52967;-;-
09172118;      Freilassing, St;148174;18812;5888;9499;1111;514;1233;1591;11432;3148;-;-;50877;37561;3788;2418;302;-
09172122;      Laufen, St;352886;11260;1142;11375;1193;1183;618;1976;13742;2024;-;-;185529;108134;10573;3836;301;-
09172124;      Marktschellenberg, M;176647;2780;300;3779;67;132;48;202;4843;-;-;-;57193;102931;2271;2064;37;-
09172128;      Piding;176702;8186;1411;4385;324;-;139;768;7876;832;-;-;42306;101604;3219;5544;108;-
09172129;      Ramsau b.Berchtesgaden;1291697;3095;459;4204;112;-;133;473;10877;-;244;-;88771;667629;5383;510251;66;-
09172130;      Saaldorf-Surheim;391019;10403;1876;10466;443;2001;210;829;13772;1409;-;-;240652;89980;15994;2905;79;-
09172131;      Schneizlreuth;1072758;3191;1046;4531;620;1364;-;511;15638;-;-;-;51728;873480;14723;105901;25;-
09172132;      Schönau a.Königssee;1316498;12768;658;7701;221;69;334;1268;10344;-;-;10;113648;604900;61925;502182;470;-
09172134;      Teisendorf, M;867746;15655;2977;21757;2725;540;212;1365;31099;3830;695;-;480769;294326;7189;4411;196;-
09172444;      Gemeindefreie Gebiete;296140;-;-;239;4;-;-;-;4990;-;-;-;9305;213224;2174;66204;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);11106908;216154;38487;146125;10054;14821;12618;40294;256420;9006;224386;23058;3172309;6156560;430080;353106;3430;-
09173111;      Bad Heilbrunn;403230;8306;613;6099;64;29;541;520;8995;-;17391;-;162328;185779;7829;4652;84;-
09173112;      Bad Tölz, St;308048;22912;3829;12813;1022;13;1368;2953;15165;828;12676;-;107824;112108;9921;3997;619;-
09173113;      Benediktbeuern;378563;6592;704;4483;93;-;88;367;6131;296;25819;-;115087;201916;5140;11754;93;-
09173115;      Bichl;139190;4041;487;1784;304;-;292;230;5453;538;229;-;50639;69493;3972;1684;44;-
09173118;      Dietramszell;968211;11487;1624;17853;580;2446;443;1592;24524;-;15813;-;431934;447270;6930;5556;159;-
09173120;      Egling;740545;13551;2484;13990;433;3776;381;6116;19694;-;14839;-;320984;322879;15650;5592;176;-
09173123;      Eurasburg;408679;9936;1652;8096;989;184;252;5195;12494;1;6526;-;200259;153160;6150;3707;78;-
09173124;      Gaißach;385487;5034;777;4973;365;-;7;1877;8174;935;7283;1;117778;225419;5271;7508;85;-
09173126;      Geretsried, St;245916;24693;14159;10939;523;18;1034;1980;13573;190;2599;41;71649;93713;4602;5301;902;-
09173127;      Greiling;76507;3169;152;1230;443;-;-;218;2527;883;4438;-;42029;19743;726;949;-;-
09173130;      Icking;169905;16325;136;4353;121;-;257;2632;9978;934;293;93;68454;64196;222;1783;128;-
09173131;      Jachenau;1286357;1773;432;3002;258;159;11;453;15870;-;2955;-;138516;1073724;11980;37190;34;-
09173133;      Kochel a.See;801191;11482;915;5939;861;207;544;1053;12546;754;22455;-;105943;376377;213439;48550;126;-
09173134;      Königsdorf;456750;6468;1096;6123;138;2192;2103;1833;9470;1776;43335;-;181944;189080;6590;4550;52;-
09173135;      Lenggries;2429090;18432;2222;12175;811;2302;321;1566;32925;617;7906;22692;365647;1698548;81034;181732;160;-
09173137;      Münsing;522292;15023;841;9507;633;497;3959;1774;23059;-;4671;-;200679;254666;4427;2437;119;-
09173140;      Reichersbeuern;154016;4205;691;2691;1309;1476;142;76;4957;332;2362;-;58482;73416;968;2829;80;-
09173141;      Sachsenkam;159313;2412;380;2386;84;51;69;233;4615;-;21538;231;60828;59707;5944;804;31;-
09173142;      Schlehdorf;253903;2805;26;3027;56;207;90;670;3897;-;550;-;85180;125928;21175;10255;37;-
09173145;      Wackersberg;648326;6086;616;8064;99;1264;229;3613;12919;-;10708;-;269036;323367;5267;7008;50;-
09173147;      Wolfratshausen, St;91326;21406;4651;6578;843;-;487;5338;8630;922;-;-;17085;21325;2441;1247;373;-
09173444;      Gemeindefreie Gebiete;80063;16;-;20;25;-;-;5;824;-;-;-;4;64746;10402;4021;-;-
09174;    Dachau (Lkr);5791794;201915;30093;183216;21379;8259;21514;48125;244461;16455;400;-;3795378;1030692;54217;130220;5470;-
09174111;      Altomünster, M;756570;16132;1333;19111;1988;1500;418;1510;25161;426;-;-;512400;156010;2594;17769;218;-
09174113;      Bergkirchen;599666;14824;4440;19712;1568;601;2845;14012;28800;1666;-;-;395323;89790;10153;15729;203;-
09174115;      Dachau, GKSt;349610;41867;10568;30029;1211;1713;7386;5649;29021;2528;-;-;165260;35796;5680;10683;2219;-
09174118;      Erdweg;360603;11278;703;9220;360;1078;147;728;13640;718;-;-;221626;91245;2037;7636;187;-
09174121;      Haimhausen;269259;8778;544;6487;1431;-;845;1003;9001;-;-;-;178345;52135;5580;4997;113;-
09174122;      Hebertshausen;295715;9504;1210;8728;500;549;610;1279;11266;1694;-;-;215931;27507;7703;9041;193;-
09174126;      Karlsfeld;156027;18709;3288;7111;1319;203;6915;1232;12147;1619;-;-;82394;9225;7022;4541;302;-
09174131;      Markt Indersdorf, M;684157;14379;1903;21052;1442;536;688;8719;23420;1009;-;-;496650;99591;3065;11233;470;-
09174135;      Odelzhausen;304438;9455;2008;8450;2545;40;145;6742;15267;-;-;-;168404;83933;1540;5808;101;-
09174136;      Petershausen;327880;9164;590;7754;392;-;174;1213;12239;3177;157;-;219430;63617;2018;7756;199;-
09174137;      Pfaffenhofen a.d.Glonn;208854;4456;242;4007;1688;516;-;400;7826;-;-;-;151178;34827;902;2751;61;-
09174141;      Röhrmoos;317476;9025;324;8856;1098;-;297;1840;10996;1808;243;-;212679;63854;1061;4867;528;-
09174143;      Schwabhausen;302329;10049;487;8065;633;31;272;568;10587;525;-;-;202965;62549;1026;4385;187;-
09174146;      Sulzemoos;190407;5273;516;5136;2704;-;187;557;10643;-;-;-;118163;42644;610;3912;62;-
09174147;      Hilgertshausen-Tandern;286835;6637;703;7638;779;1150;35;893;10220;-;-;-;186236;65351;650;6417;126;-
09174150;      Vierkirchen;193844;6680;695;7041;1222;-;238;1509;7246;1285;-;-;142209;18378;1024;6162;155;-
09174151;      Weichs;188124;5705;539;4819;499;342;312;271;6981;-;-;-;126185;34240;1552;6533;146;-
09175;    Ebersberg (Lkr);5493641;189809;29189;146700;10216;10049;13640;52197;216340;15497;4115;272;2641901;2046816;52585;60988;3327;-
09175111;      Anzing;161757;6297;1353;7130;645;-;202;1093;10099;-;288;-;122660;7228;981;3714;67;-
09175112;      Aßling;313733;8365;898;8543;574;-;244;467;9239;3002;484;-;201446;75311;1538;3510;112;-
09175113;      Baiern;199671;2363;335;5504;270;-;262;451;5732;-;59;-;131069;51530;906;1130;60;-
09175114;      Bruck;215943;1882;292;4646;242;373;112;296;6493;624;202;121;131061;65748;1175;2626;50;-
09175115;      Ebersberg, St;408412;15986;1529;14132;1782;2160;1210;1156;15553;1060;127;58;204991;135030;7561;5446;631;-
09175116;      Egmating;191629;3690;457;3277;88;-;134;7326;6197;-;-;-;66239;103105;220;859;37;-
09175118;      Forstinning;122703;5976;1223;4880;681;783;220;645;8857;-;-;17;88006;7620;1252;2318;225;-
09175119;      Frauenneuharting;226860;2400;294;5936;60;-;255;176;5715;-;397;-;165021;43618;1071;1891;26;-
09175121;      Glonn, M;302427;7374;850;7993;325;260;616;626;10396;153;913;-;153698;114111;1985;2984;143;-
09175122;      Grafing b.München, St;295831;19260;1681;9943;671;16;1346;7317;13026;3182;459;-;162445;69819;1817;4551;298;-
09175123;      Hohenlinden;173202;5189;1724;6417;121;1020;224;491;7037;-;-;-;89431;58977;248;2254;69;-
09175124;      Kirchseeon, M;179128;13028;3161;6738;370;1489;418;465;8089;2467;762;-;58317;80596;436;2524;268;-
09175127;      Markt Schwaben, M;108616;11820;2837;5027;709;-;1224;1571;6460;1476;-;-;64475;8828;997;2957;235;-
09175128;      Moosach;182079;3006;202;3904;144;43;119;351;5854;-;117;-;68811;93699;2968;2819;42;-
09175131;      Oberpframmern;184709;4393;1014;2719;572;161;273;306;6221;-;-;-;57519;110566;80;818;67;-
09175132;      Vaterstetten;340842;37701;1693;16103;729;483;1520;2483;26363;1044;-;76;197300;51195;367;3376;409;-
09175133;      Pliening;227857;7532;1759;6666;725;1772;251;361;8750;-;-;-;158459;11223;24046;6225;88;-
09175135;      Poing;129223;13074;5186;7664;355;197;3049;5939;8374;997;-;-;72451;9067;417;2324;129;-
09175136;      Emmering;172242;2977;190;5003;207;16;21;285;4370;-;169;-;135477;20226;2020;1243;38;-
09175137;      Steinhöring;362952;5862;1967;9218;298;38;647;17832;10237;445;71;-;222612;87462;2226;3897;140;-
09175139;      Zorneding;237769;11634;544;4963;542;828;985;1304;11545;1047;67;-;84117;118291;131;1578;193;-
09175444;      Gemeindefreie Gebiete;756056;-;-;294;106;410;308;1256;21733;-;-;-;6296;723566;143;1944;-;-
09176;    Eichstätt (Lkr);12140553;256767;58044;186275;45881;59941;14230;32946;542770;22964;126;34382;5602657;4945715;86838;246771;4246;-
09176111;      Adelschlag;519833;6855;711;5919;2967;495;117;433;17799;2070;-;-;232501;242776;393;6740;57;-
09176112;      Altmannstein, M;1141768;17550;1250;18994;1306;955;691;1078;42110;-;42;2505;555083;475936;1239;22615;414;-
09176114;      Beilngries, St;1000669;18721;4463;18463;1777;3303;849;6737;49218;881;-;-;536104;328641;8337;22962;213;-
09176116;      Böhmfeld;162667;3218;92;1721;274;395;64;322;5860;-;-;77;67029;80653;24;2906;32;-
09176118;      Buxheim;225254;8126;416;3310;1482;-;163;968;10001;1488;-;-;145562;44764;3012;5826;136;-
09176120;      Denkendorf;478370;10105;2852;6702;2598;679;316;715;26028;2513;-;-;183969;231760;677;9192;264;-
09176121;      Dollnstein, M;405121;6538;1645;3046;836;107;612;712;13792;3346;-;5949;118805;238695;4163;6794;81;-
09176122;      Egweil;93870;3391;299;1130;690;-;7;274;4233;680;-;-;66023;14899;213;2010;21;-
09176123;      Eichstätt, GKSt;477825;19251;4643;14088;1420;7701;1270;2296;25196;4763;-;1616;171985;205365;4462;13534;235;-
09176124;      Eitensheim;157102;5792;760;2507;822;-;287;246;9562;820;-;-;101100;31154;52;3922;78;-
09176126;      Gaimersheim, M;282094;21216;6171;7794;646;351;1774;1737;17692;939;-;166;177065;38860;667;6709;307;-
09176129;      Großmehring;474246;11951;6181;7530;5375;4082;706;1098;23919;381;-;-;295797;70512;28454;18102;158;-
09176131;      Hepberg;41586;5473;381;728;237;-;473;203;5039;-;-;2277;21970;2671;19;2067;48;-
09176132;      Hitzhofen;337863;6197;153;3092;571;719;118;860;11552;-;-;-;107241;202418;56;4795;91;-
09176137;      Kinding, M;517064;5606;2487;6622;828;5209;729;2990;29601;973;-;1271;176739;259160;7549;17138;162;-
09176138;      Kipfenberg, M;814331;11690;2050;10413;1610;120;871;1907;34162;59;-;-;270500;468742;3714;8281;212;-
09176139;      Kösching, M;556678;16841;5003;9285;4333;-;1318;1467;21469;34;-;1162;231329;255367;622;8248;200;-
09176143;      Lenting;84784;8717;1975;2524;2213;-;790;629;8901;64;-;6368;45275;4522;195;2460;151;-
09176147;      Mindelstetten;226891;4175;221;3964;621;658;239;520;9438;-;-;35;156201;46334;217;4186;82;-
09176148;      Mörnsheim, M;334573;3583;1985;3230;6214;6542;250;320;12851;309;-;5543;133274;152843;1446;6131;52;-
09176149;      Nassenfels, M;184289;4483;503;3420;243;-;231;398;8335;374;-;49;105456;54139;1080;5485;93;-
09176150;      Oberdolling;193648;3109;1302;2501;257;466;58;352;8031;-;-;312;118251;53473;227;5238;71;-
09176153;      Pförring, M;435134;8306;1620;9790;390;241;363;703;19877;-;51;58;295978;69903;13272;14398;184;-
09176155;      Pollenfeld;456465;4988;1592;7080;1229;456;145;527;18664;-;-;-;223268;194496;40;3795;185;-
09176160;      Schernfeld;522401;6011;3498;7214;3361;10687;210;1106;19489;4;-;309;225366;239433;24;5618;71;-
09176161;      Stammham;390431;9108;574;2679;955;-;198;1488;18069;2724;33;420;85810;261093;325;6764;191;-
09176164;      Titting, M;711032;4482;2773;11020;1550;15409;240;1045;33456;-;-;90;431969;197217;1591;10080;110;-
09176165;      Walting;397485;5315;1403;4112;664;452;426;613;16233;-;-;791;131610;220846;3779;11131;110;-
09176166;      Wellheim, M;338139;6808;631;4666;314;458;204;416;12720;-;-;66;117752;186766;919;6312;107;-
09176167;      Wettstetten;124738;9161;410;2700;98;162;511;786;7413;542;-;5318;73645;20470;70;3322;130;-
09176444;      Gemeindefreie Gebiete;54202;-;-;31;-;294;-;-;2060;-;-;-;-;51807;-;10;-;-
09177;    Erding (Lkr);8707175;206397;35404;285391;20036;23515;15464;41073;312888;131954;333;-;6098447;1262796;108837;160646;3994;-
09177112;      Berglern;198840;4369;576;5706;685;945;219;263;7857;-;-;-;155058;6554;6000;10555;53;-
09177113;      Bockhorn;471454;6901;839;13165;790;-;277;5844;14473;6191;53;-;352729;63577;2833;3651;131;-
09177114;      Buch a.Buchrain;227473;2879;173;5530;215;-;21;205;5397;-;-;-;105002;106894;546;576;35;-
09177115;      Dorfen, St;995568;21080;4293;36473;1071;1168;1219;1002;31459;3068;-;-;763321;109660;7108;14224;422;-
09177116;      Eitting;356301;5299;274;9676;3583;2067;245;982;17670;-;-;-;234352;46424;11806;23847;76;-
09177117;      Erding, GKSt;546076;37178;7512;26316;964;3712;5971;3835;27703;36791;16;-;346509;21603;15014;12078;874;-
09177118;      Finsing;231727;8018;2874;11019;2075;418;594;1617;7780;-;-;-;159426;19336;13993;4312;265;-
09177119;      Forstern;153733;4930;1130;5703;136;2052;120;552;5039;235;-;-;109392;22530;573;1276;65;-
09177120;      Fraunberg;423607;6665;808;12018;568;630;261;676;15562;-;-;-;327943;51474;2772;4082;148;-
09177121;      Hohenpolding;274173;2624;539;8923;557;2229;78;206;7602;-;-;-;213540;34795;1090;1952;38;-
09177122;      Inning a.Holz;118331;2962;508;3835;67;208;8;342;4072;-;-;-;72963;30665;465;2161;75;-
09177123;      Isen, M;437796;10308;1327;13808;1175;111;421;557;12334;-;-;-;235110;158022;1561;2831;231;-
09177124;      Kirchberg;170951;1986;351;5271;110;503;118;-;4472;-;-;-;120915;34835;566;1790;34;-
09177126;      Langenpreising;275010;4934;429;6435;433;123;364;685;14553;-;-;-;209231;22289;6994;8490;50;-
09177127;      Lengdorf;339383;4487;311;11996;284;1184;119;245;9458;1096;5;-;252622;50853;2256;4390;77;-
09177130;      Moosinning;399670;10348;771;12034;359;1070;684;16409;15672;141;259;-;281163;45983;6560;8120;97;-
09177131;      Neuching;196769;4572;538;5857;551;2244;211;357;8544;-;-;-;160380;6005;4554;2886;70;-
09177133;      Oberding;647235;9969;4154;15698;2480;992;1460;1518;24680;78760;-;-;433577;35604;5065;33028;250;-
09177134;      Ottenhofen;102740;3970;141;3659;981;-;214;309;4218;1445;-;-;75387;9130;1926;1290;70;-
09177135;      Pastetten;220791;4488;269;6591;30;2170;40;114;10276;292;-;-;163724;28072;1989;2655;81;-
09177137;      Sankt Wolfgang;463187;7286;1633;15387;281;251;169;528;13442;-;-;-;290561;129634;1899;1972;144;-
09177138;      Steinkirchen;180797;2797;358;5098;140;377;-;237;5315;-;-;-;134201;29801;486;1954;33;-
09177139;      Taufkirchen (Vils);701797;17167;2811;26483;787;1061;728;2862;23194;-;-;-;495952;118852;4535;6968;397;-
09177142;      Walpertskirchen;184462;3427;189;6227;191;-;110;315;5628;1762;-;-;140337;24109;1313;780;74;-
09177143;      Wartenberg, M;178833;9517;1753;6169;82;-;1205;786;7791;-;-;-;113641;30436;4418;2947;88;-
09177144;      Wörth;210471;8236;843;6314;1441;-;608;627;8697;2173;-;-;151411;25659;2515;1831;116;-
09178;    Freising (Lkr);7998309;246335;50097;260398;25542;37824;20961;35530;352962;89078;1975;433;5071344;1570829;140495;90067;4439;-
09178113;      Allershausen;265480;9463;2127;8429;523;1291;735;925;14861;-;-;-;167515;50847;6030;2583;151;-
09178115;      Attenkirchen;161074;5945;675;5010;1473;-;532;402;6403;-;10;-;116169;22836;325;1243;51;-
09178116;      Au i.d.Hallertau, M;549852;11158;1834;16713;756;3768;612;890;19759;-;-;-;349266;139308;1302;4334;152;-
09178120;      Eching;373147;13791;10638;10950;2610;3727;3994;1495;28118;1687;-;-;252671;32126;7881;3016;443;-
09178122;      Rudelzhausen;408061;6977;474;13486;1387;1260;345;9200;13039;-;-;-;252285;105319;1283;2855;151;-
09178123;      Fahrenzhausen;376411;10001;674;9634;1726;201;194;1111;17254;-;258;16;276391;49053;6178;3572;148;-
09178124;      Freising, GKSt;885966;48072;6795;46438;2938;1674;7153;6398;54449;42427;1524;98;459483;173585;19268;14387;1277;-
09178125;      Gammelsdorf;216297;3182;882;5906;188;6497;212;248;6988;705;97;115;147398;42159;141;1514;65;-
09178129;      Haag a.d.Amper;217113;5952;675;5290;939;1288;551;632;8946;276;86;-;136348;47889;4798;3321;122;-
09178130;      Hallbergmoos;350724;12695;3399;13528;1456;1885;513;1892;13658;37797;-;-;191112;57889;8157;6637;106;-
09178132;      Hörgertshausen;214823;4012;478;7221;235;1150;32;314;7141;-;-;-;145886;47439;363;484;68;-
09178133;      Hohenkammer;257377;4287;993;7170;1537;977;149;424;9359;-;-;-;156290;72841;1573;1722;55;-
09178136;      Kirchdorf a.d.Amper;329591;5973;858;7000;252;1344;208;426;10653;-;-;-;209446;83917;4133;5333;48;-
09178137;      Kranzberg;395079;9214;1124;10038;355;732;684;985;16261;-;-;-;232682;116093;4579;2191;141;-
09178138;      Langenbach;268934;6744;1485;6827;441;1127;330;577;10410;1016;-;-;148601;77773;8002;5506;95;-
09178140;      Marzling;205042;4887;193;5557;595;411;780;359;9771;690;-;195;141105;28448;8932;3064;55;-
09178142;      Mauern;241421;5474;204;7416;212;1037;49;706;7897;30;-;-;168345;48203;889;880;79;-
09178143;      Moosburg a.d.Isar, St;438480;27213;7251;15006;1436;4014;1730;2279;22315;2186;-;-;232655;88225;22993;10867;310;-
09178144;      Nandlstadt, M;343037;8637;741;10954;271;104;124;718;11114;-;-;-;249092;58678;515;2016;73;-
09178145;      Neufahrn b.Freising;455308;20233;5505;17861;1750;143;1346;3335;27465;1831;-;9;325366;40276;6545;3104;539;-
09178150;      Paunzhausen;127336;3717;49;3515;248;266;35;259;5233;-;-;-;84505;28945;97;440;27;-
09178155;      Wang;311871;5461;1329;9399;510;942;251;392;10084;296;-;-;200261;60604;17782;4454;106;-
09178156;      Wolfersdorf;260525;4700;402;7235;578;466;71;391;7494;-;-;-;185909;51878;395;942;64;-
09178157;      Zolling;345360;8547;1312;9815;3126;3520;331;1172;14290;137;-;-;242563;46498;8334;5602;113;-
09179;    Fürstenfeldbruck (Lkr);4347927;289650;34364;121747;19032;15683;15693;51402;207625;49806;13192;246;2429078;973411;36983;83561;6454;-
09179111;      Adelshofen;132809;3409;132;2795;193;391;150;323;5011;-;-;-;94625;23732;663;1337;48;-
09179113;      Alling;210197;6171;791;5286;273;-;133;2216;8167;-;-;-;149682;33752;1125;2451;150;-
09179114;      Althegnenberg;160878;4532;86;1376;1106;1;41;338;4247;1418;8162;-;69555;67518;451;1976;71;-
09179117;      Egenhofen;334005;7486;2040;7989;693;767;65;550;11405;-;-;-;237807;59664;2419;3050;70;-
09179118;      Eichenau;69901;17712;485;2792;43;-;1507;933;5548;292;-;-;20340;17812;547;1595;295;-
09179119;      Emmering;109471;10733;3159;2980;689;-;599;2401;5461;976;-;-;49621;26188;2429;4014;221;-
09179121;      Fürstenfeldbruck, GKSt;325254;37822;6205;17746;2146;4925;2507;4477;24717;14006;1121;31;116264;79569;4075;8145;1498;-
09179123;      Germering, GKSt;216061;36602;1874;11030;173;-;2446;4857;18490;1270;-;215;86891;45088;435;5559;1131;-
09179125;      Grafrath;144310;10231;434;2844;214;75;105;920;5500;669;-;-;42589;70408;1246;8977;98;-
09179126;      Gröbenzell;63574;32372;1642;3771;28;-;866;1577;6872;1568;-;-;10811;1133;416;2067;451;-
09179128;      Hattenhofen;71728;3037;91;1841;884;-;217;254;2876;1496;-;-;46760;12561;171;1495;45;-
09179130;      Jesenwang;152978;2905;600;2395;698;2371;61;296;5890;628;-;-;84193;50741;334;1824;42;-
09179131;      Kottgeisering;82109;4739;17;1249;79;-;1;279;2850;938;3644;-;47752;18370;685;1462;44;-
09179132;      Landsberied;105358;2626;294;1644;70;3883;28;518;3835;-;-;-;50043;41057;39;1277;44;-
