;;Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS);Bodenfläche (ALKIS)
;;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung;Art der tatsächlichen Nutzung
;;Insgesamt;Wohnen;Gewerbe, Industrie;sonstige Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Abbauland;Grünanlage;sonstige Erholungsfläche;Straße, Weg, Platz;sonstige Verkehrsfläche;Moor;Heide;Landwirtschaftsfläche (ohne Moor, Heide);Waldfläche;Wasserfläche;Unland;Friedhof;Flächen anderer Nutzung (ohne Unland, Friedhof)
;;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar;ar
09172117;      Bischofswiesen;621368;12314;1674;11319;531;1298;281;1198;13507;1478;275;-;86004;434793;3732;52964;-;-
09172118;      Freilassing, St;148175;18837;5904;9436;1110;513;1182;1713;11369;3146;-;-;50888;37548;3782;2445;302;-
09172122;      Laufen, St;352884;11083;964;11355;369;1184;619;1925;13743;2024;-;-;186584;107966;10574;4193;301;-
09172124;      Marktschellenberg, M;176647;2757;243;3704;64;132;49;202;4841;-;-;-;57430;102764;2270;2154;37;-
09172128;      Piding;176702;8099;1481;4391;324;-;118;764;7863;832;-;-;42369;101637;3214;5502;108;-
09172129;      Ramsau b.Berchtesgaden;1291699;3132;459;4202;112;-;133;472;10854;-;244;-;88765;667095;5384;510781;66;-
09172130;      Saaldorf-Surheim;391017;10320;1837;10399;489;2001;158;831;13744;1412;-;-;240945;89792;15989;3021;79;-
09172131;      Schneizlreuth;1072757;3165;1046;4551;614;1364;-;573;15552;-;-;-;51724;873204;14754;106186;24;-
09172132;      Schönau a.Königssee;1316498;13016;707;7298;192;69;311;1289;10418;-;-;10;112739;604397;61924;503658;470;-
09172134;      Teisendorf, M;867740;15500;2993;21796;2696;539;207;1364;31061;3815;689;-;481148;293953;7177;4606;196;-
09172444;      Gemeindefreie Gebiete;296140;-;-;238;3;-;-;-;4973;-;-;-;9306;213117;2165;66338;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);11106886;215193;39571;145072;9603;14603;12414;40130;255107;9005;219593;7483;3174718;6171489;439598;349919;3388;-
